,stemmed,sentiment
1445,channel hilang stres,1
1446,channel doang dah yg buat aku hibur,1
1447,channel lebih konten isi tayang televisi,1
1448,channel plagiat pink guy hehehe joji alas toxic dllkamuapaan autis beneran gan,-1
1449,channel reupload,1
1450,channel kontol l,1
1451,channel legend isi video hibur aku blg video faedah aku blg video hibur salut sama kamu ericko lim,1
1452,channelkamuemg kpnyol tidak didik aku hibur njink,-1
1453,channel manfaat huhh,1
1454,channel hibur,1
1455,channel njing k,1
1456,channel paling didik,1
1457,channel paling didik fraindly family,1
1458,channel paling pemely prenli,1
1459,channel didik,1
1460,channel punya faedah yg subscribe banyak org yg hidup jelas,1
1461,channel sampah,-1
1462,channel satu bangsa,1
1463,channel sayang obat stres moga makin sukses bang,1
1464,channel ter toxic ad yg nandingin emng ericko to lim,1
1465,channel terfamily friendly dunia dah tertawa njay,1
1466,channel paling hibur,1
1467,chenel apa channel goblok banget kamu,-1
1468,chenel hibur hilang stres mobangentot lucu,1
1469,chenel paling njing dasar gug,1
1470,chnnel paling jelas dunia,1
1471,ciduk satu satu seru bang,1
1472,cie kak kimihime ngembelain,1
1473,cie stack juta,1
1474,cie sama oddy,1
1475,cie yg baper wkwkwk laporin gih laporin,1
1476,cieeee gblg gakk fanfest,1
1477,cieeee yg niruin konten erpan,1
1478,cina nerd pake kacamata,1
1479,cinta benci mu dapet adsen tiap hati,1
1480,cipta heterszzz,1
1481,cium,1
1482,cium bau bau banyak benci dichenell kwkwkwk konten kamu bagus,1
1483,cm,1
1484,coba w ketemu benci benci gemar w sleding dah w baca kesel bang ericko,1
1485,coba kalian pilih ericko lim reza arap,1
1486,coba cepat x wagelaseh brooo,1
1487,coba liat mata,1
1488,coba main game lah kentot,-1
1489,coba nonton mli dulu deh yg atta,1
1490,cod kenzhibernessa,1
1491,cok muslim mana woy cok muslim,1
1492,cokil kuy,1
1493,colab sama titis dewa qory gore ajak mkn jembad sekali si lewat vagina keluar bg lewat anus kali ya seperti pantat muka,-1
1494,coli ae lebih baik kamu haha,1
1495,coli bang,1
1496,coli bareng bang,1
1497,colikamuric,1
1498,coli yuk,1
1499,collab ama miawaug dong bang,1
1500,collab sama qory,1
1501,collab sama qorygore coba haha,1
1502,collab sama qorygore dong bang,1
1503,collab sama qorygore rick,1
1504,collab sama reza arap,1
1505,collabs sama babang gore sabi wkwkwk,1
1506,collabs sama qorygore bangg wokwok,1
1507,coly hari brapa kali,1
1508,come on dora,1
1509,komentar tod,1
1510,comment hate buat orang iri sama lo,1
1511,comment hatersnya pedes semua bangsat wkwkwk serasa makan geprek lv,1
1512,comment pertama aku pernah liat njir kamu erick,1
1513,commentnya hate toxic toxic sahabat indonesia,1
1514,content ajar bahwa benci guna,1
1515,contentlu slalu ngehibur apa topik maju terus bang jan dilemesin,1
1516,contoh komenan yg cermin org agama,1
1517,cringe cringe,1
1518,crown gaming opo cok,1
1519,cukup buat batas umur yg nntn erick,1
1520,cukup tertawa tertawa kali cukup tertawa bang aku tau haters tu hasil duit,1
1521,cukup paten,1
1522,cuma chanel kamu yg buat tertawa dosa jariyah buat,-1
1523,cuma channel aku tambah goblok wkkwkw,-1
1524,cuma channel kalau nonton perlu make headset wkwkwk,1
1525,cuma indonesia org ken bnyk benci,1
1526,cuma ilmu dunia yg aku ajar erick,1
1527,cuman channel hibur anggap serius ama orang ckckckck,1
1528,cuman sini benci jdi duit,1
1529,cuman orang nonton vidiokamugak sampe selesai nonton vidiokamucuman beberapa doang yg haters ericolim belum tau batul karakter eric bagaimana asli soal youtube rewind aku adalah suatu karya besar ericolim dkk sa bahaya masa se simple tau apakah benar belakang layar anda bajing,-1
1530,cuman gemar doang nonton iklan erickontl,1
1531,cuyyu saran aku iklan jangan tampilin,1
1532,cyper cie ngegad,1
1533,cyper bagaimana nemuinny,1
1534,d,1
1535,d alam kubur pinter kakek,1
1536,d g a f diri elo sendiri konten elu sangat ngehibur be a smart viewers aj jangan cuma comment negative channel orang dasar hatter punya malu,1
1537,d video am real life beda boy,1
1538,dafuq,1
1539,dagel,1
1540,dah aku click x tombol subscribe bro,1
1541,dah aku subsribe,1
1542,damn my nigga tertawa aing wkwkwk,1
1543,jangan lupa coli pake counter pain,1
1544,jangan lupa subscribe channel kamu perlu ingat kalau aku dulunya selingkuh kamu,1
1545,padahal subscribers erick lama dia main pb ketemu cit gabisa kick,1
1546,sata hibur,1
1547,danang gaming liat ee yang ngetik dikomenannya makanya jangan tinggal nonton ada kuota,1
1548,daniel halim,1
1549,daniel halim goblokk,1
1550,dapet apa ajg nonton pertama,1
1551,dapet iklan detik pas aku pencet skip aku emg benci sejati kamu bang,1
1552,dapet konten benci gud,1
1553,dapet pacar victoria xd malah se toxic dulu bang,1
1554,dulu baru pertama kali aku baca komentar komennya chanel,1
1555,nama saja liat lim,1
1556,pada bacot lebih baik mampir channel hehe,1
1557,padakamungadepin haters,1
1558,semua ygkamubacain lihat tidak satu komentar bobot nampak idiot tu org yg ngehinalu otivasi bang hhe aku taukamuitu orang baik,1
1559,baca komentar benci,1
1560,dark content,1
1561,dark noire emg agama ericko lim apa kalau tau,1
1562,dasar anak haram,1
1563,dasar anak lacur mamakkamupelacur jalan mana,1
1564,dasar erickntl liat ericko melet gitu wkwk,1
1565,dasar benci goblok,-1
1566,dasar hatter,1
1567,dasar benci goblok braninya cuma medsos doang,1
1568,dasar kamu anak manusia,1
1569,dasar makan jembot,1
1570,dasar netijen bar bar hina karya,-1
1571,dasar umat goblok koment pedeskamuke si ericko lim ngaruh hidup bodo ya intinyakamuank tidak guna tolol hehe,-1
1572,dasar utus teroria,1
1573,dasar utus teroris,1
1574,dasssaar benci haterrrs laknat miskinn bajingannnn cuma ngomong sosmed memek konnntoll haters haters miskin idioot konntoll mati kaliaannn hatttterss konntol,-1
1575,daylen warpath,1
1576,daylen x warpath,1
1577,daypath wkwkwkk,1
1578,deadpool indonesia,1
1579,dear ericko,1
1580,dear ericko lim,1
1581,dear benci inget boyy ericko lim kamu bakal dewasa,1
1582,dear haters kelean bilang ericko gpunya otak apa,1
1583,dear haters maknye erick kontol kagak ngilu nglahirin die pling jijik doang goblok wkwkwkk kontol bajing benar di dunia nyata orang yg sama first time komenkamusemoga dibacakamumau dengerin saran yabagus kalau yakontol,-1
1584,dear mr ro,1
1585,dede gaming wkwkw nembak cwe lewat sosmed ae wkwkw akamubang,1
1586,deidora the exploder haha subscribe baru harap maklum gan,1
1587,deketin cwe ansos bagaimana coy,1
1588,dengar abang ngomong ke ingat omong guru aku kalokamumau usaha ngapainkamusekolah ngntd,1
1589,depan kamera personal beda coy memang hobi buat video kaya tai hibur personal beda banget apa yg kalian pikir,-1
1590,depok mana mas,1
1591,detik tertawa,1
1592,dhdh hanjur,1
1593,baca comentnya liat videohahaa,1
1594,cepetin x dj,1
1595,dalam hati pasti triak ini,1
1596,deket goggle play button muka siapa,1
1597,hujat bully malah jdiin motifasi lah baru sindir ae delet chenel bangsat,1
1598,hujat tambah kaya,1
1599,jalur benar,1
1600,kocak udah tau yg subscribe eric banyak bocahhhh,1
1601,menit daylen bukan hahaing bro,1
1602,menit kata itu ini channel didik didik mutu bukan balik simpang didik sesat,1
1603,menit wkwkw ama alucar viscont,1
1604,paksain banget anjing menit vagina pantek enttot ibuk kau,-1
1605,sini ad benci yg nonton yah,1
1606,sosmed bang yg berani ngehina kamu kalau ketemu minta foto,1
1607,tampar jamil hanafi di gpp,1
1608,thumbnail heaters cenel,1
1609,tunggu botakkkkk jess sudah botak masakamublom erick,-1
1610,video videokamukaga pernah yang nama give away,1
1611,videohaters semua goblok anjing,1
1612,canda kenal jessnolimit,1
1613,cuma plagiat pink guy,1
1614,emang janji,1
1615,tidak tahu apa apa tentangkamubang jfi itu sok tahu,1
1616,kakak bowo tok tok,1
1617,tu tampan goblok,-1
1618,udah buatkamupada tidak nyadar lagu hypocrite buat siapa hahaha,1
1619,dibacotin benci kata katain jadiin adsense ajaa,1
1620,dibacotin neng,1
1621,bawa ngupi l bang,1
1622,belakang erickolim lemari belah kiri golden play button bukan,1
1623,bunuh kakashi,1
1624,die benci little bitch,1
1625,diemin anak hasil condom bocor disskamurick semangat terus buat konten faedah,1
1626,diemin bang juga kalau ketemu minta foto njing,1
1627,dih bocah,1
1628,dih eyesnya pas story kea beraer gitu mua konten bang erico lim,1
1629,dih fans cihuahua awokaowakoak,1
1630,dikacangin hhmm,1
1631,dikit dikit suruh hapus,1
1632,kubur konter y mbah,1
1633,dil pross,1
1634,liat muka komenkamukayaknyakamuini jaga warnet yg online terus,1
1635,mas oktovan,1
1636,dimaz gaming jangan gp lah mending full hd,1
1637,menit orang erti gemar goblok,-1
1638,dingin gtuu,1
1639,disconnect free baca komentar sebelumkamukomen botol goblok ketawa teliti kekkamuajg,1
1640,disconnect free baca habis botol,1
1641,disconnect free mana goblok,1
1642,sini afa gemar seti mana suara gemar,1
1643,dislike,1
1644,dislike coi doa gabutuh ngelike koment kayak gin,1
1645,dislike,1
1646,dislike yg rewaind selesai kasih aku ipad bang buat main pubgm,1
1647,dislike pertaama bos like dah jaman,1
1648,diss benci,1
1649,diss benci rick,1
1650,distrack selesai masalah,1
1651,tonton,1
1652,tonton like komentar,1
1653,tunggu desember,1
1654,tunggu konten ericko pinkguy limkamurick,1
1655,tunggu youtube nyaaaaaa,1
1656,djancok,1
1657,dm w dong ig w dar haidarrrr,1
1658,do human cake plizzzz,1
1659,do more of what makes you happyone bring you down fuck all that negative shit about you,1
1660,domak tingting josssssssss,1
1661,doms dee ghost buster,1
1662,don t give up erick,1
1663,don t judge a people by his video,1
1664,dong,1
1665,dont judge cover by its book,1
1666,dosakamusemana la yah ngomongkamujorok terus emak bapakkamugk ngajarin yg benar napa,-1
1667,double tap subscribe,1
1668,draw life lah masak juta subscribe kagak draw life,1
1669,draw my life bang,1
1670,draw my life donk bang,1
1671,drawmylife,1
1672,du unsub papa masih subscribe,1
1674,benci nonton mayan nambah view dapet adsense,1
1675,dukung el mana,1
1676,dukung eric cuy,1
1677,dukung erick kolim,1
1678,dukung erickontlim rsis tvfilthyfrank,1
1679,dukung mu n,1
1680,dulu durasi video menit,1
1681,dulu beda kalau skrng gjls cuman toxic gjls,1
1682,dulu benci elo semua ubah negara k nt l serang,1
1683,dulu terahir aku liat subscribe cmn rb sekarang juta good job bang bangke,1
1684,durex,1
1685,dwp,1
1686,dwp avaan bang,1
1687,dylan naks saint indo di undang youtube rewind,1
1688,e,1
1689,e tinggal,1
1690,e kintol,1
1691,ea,1
1692,ea first,1
1693,ea tampan bang,1
1694,eaaa benci gg,1
1695,eaaaahh,1
1696,eaak,1
1697,ect ericontol,1
1698,edit kaya erpan,1
1699,edit legendkamurick edit masa pink guy wkwkwk,1
1700,edit mantull njingg gg,1
1701,edit ngikutin erpan wkwl,1
1702,editanya pros,1
1703,edit mirip erpan,1
1704,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrriiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiicccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccckkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo lim tampan,1
1705,eeeh khontol,1
1706,eehhh maaf gais tadi aku liat memeq,1
1707,efek banyak main sabun otak penuh peju,1
1708,eh albert,1
1709,eh bang aku ajar toxic kamu aku dimaharin guru,1
1710,eh bg buat konten kocak lah biar tertawa nantonya pek sendiri,1
1711,eh bocah by the way aku bocah aku bukan gemar,-1
1712,eh ericontole kata bapa tidak ngmng jorok ajggg,1
1713,eh erick video kamu keren ntai yg benci pd bocah kentot smua,1
1714,eh kontol aku subkamudari ribu subscribe anjing give away saya nyet,1
1715,eh kontil suara kamu kalah ama bg music beli mic lah,1
1716,ehkamumabuk wowkwkwk suarakamuberubah,1
1717,eh ngegas benci,1
1718,eh kentot t tidak gaada backsound suara teriak tot make headset njing kaget bangsat,1
1719,eh kentot pin comment aku,1
1720,eh nyet react lagu wikwikwik yg adegan ngeuenya dong,1
1721,eh erick,1
1722,eh erick lebih baik intro kiamat channel keluarga,1
1723,eh sorry gays aku tadi liat vagina,-1
1724,eh sorry guys tadi netizen lihat memekerus buat channel baru nama kontoru,1
1725,ehh buat benci jangan bully ericko lim malah tambah kaya begoo,1
1726,ehh lim lumandi giihh kutu kamu ngeselin koontoll,1
1727,ehk ericmemek gwa dukungkamutruss tod,1
1728,ei ericko,1
1729,eit cukz aku lupa usahkamucounter attack komentar hate aku,1
1730,eke soapking mananih intro dulu wkwkwkwk,1
1731,el banyak haterss haaaaa,1
1732,elisa ecklund yah kaka,1
1733,elo cuma kentot aj,-1
1734,elo toxic gemar toxic biar komentar gwkamubaca wkwkwk,1
1735,elshen nathanael siapa,1
1736,elu ngegad si ngomongnya bngsd,1
1737,elu jing bosen buat jam,1
1738,elu triak cuma buat ngobatin malu nyampah uang laki kamu lbih rendah lacur yg subscribe bocah anjing semua,1
1739,elu yg ngehate yg kaya yaaa,1
1740,email haterskamuajak yt rewind t cool reading benci comments ick aku kemarin gbk andddd kata pak satpam aku nanya halo pak selamat siang kata di sini acara yutuprewind yak pak ohh iya bro dah selesai bro acara aku lelah gbk acara ytrwn selesai aku janji rick kalau ketemu luh aku bakal nampar luh kenceng tenanga aku salam kenal aku bro erick ramadan see you motherfucker,-1
1741,emang benar toxic nii erickocontoll,1
1742,emang skip,1
1743,emang channel ny bang ericko semua medidik,1
1744,emang channel toxic ni,1
1745,emang tampan arap si wkwkw,1
1746,emang gilak ni orang,1
1747,emang benci goblok otak,1
1748,emang kamu pntez hate rick lebih rendah sampah,-1
1749,emangkamubau sampah njir,-1
1750,emang patas dihate,1
1751,emang pertamakali aku nonton yt kirik pas lagu susu kental manis sumpah aku hati channel apa kesini krg toxic saja,1
1752,emang qory bau,1
1753,emang si rapstronot kesel gara gara raja hapus channel,1
1754,emang jijik apa liat muka macam biji karat wkwkkw,1
1755,emangbanglugantengguajugaampepengenketemuamaabang,1
1756,emank v,1
1757,emg tampan,1
1758,emg gila ni orang kapan masuk rsj,-1
1759,emg aj yg bilang erikolim mirif sama anak sule rizki febian,1
1760,emg benci g tau diri biarin,1
1761,emg konten kamu toxic bg sumpah kontenlu ngehibur,1
1762,emng goblok,-1
1763,emng kamu tuhan wkwkjw,1
1764,emngkamudoang upmood aku rick kyaa,1
1765,emng pantes luuu buka project youtube rewind ad pntes,1
1766,emosi klimaks wkwkwkwkwk,1
1767,enak benci tambah adsande,1
1768,enak ni channel,1
1769,enak erik yg dulu beda kalau skrng gjls cuman toxic gjls,1
1770,mampan benci lawankamubang kwkwkwkw,1
1771,enkaneka,1
1772,entah edit hitzeed,1
1773,entah semua orang benci sama kamu aku malah suka gaya kamu bang boommmm njinkk lmayan ngilangin stress mungkin channel awkwkw,1
1774,ente jg bocah ngapain sampe sini toddd,1
1775,er bang semua gantung lingkung orang tua lingkung kalau jembut yah anak seperti jembuttttt,-1
1776,era globalisasi erickolim ahli ips,1
1777,era modernisasi bang bukan globalisasi sedikit benar channel didik,1
1778,eri coli m kapan buat videotetntang free fire bangsad utekmu pubg terus su,1
1779,eric bully adsense,1
1780,eric contol,1
1781,eric emg k nt l gemesin makanya aku subscribe channelnya,1
1782,eric tampan,1
1783,eric hapus cenel,1
1784,eric makin banyak benci makin kaya lol,1
1785,eric toxic pas rec asli org sopan,1
1786,eric ywan,1
1787,erick abangkamuapa tuhan lu,1
1788,erick aku support kamu zanpe matj,1
1789,erick apa arap,1
1790,erick arap saudara wkwkwkwk,1
1791,erick banyak benci malah makin tajir goblok wkwkwkwk,1
1792,erick jd soapking kampanggg,1
1793,erick hina apa slow kontol benci udah tau gasuka juga nonton sekarang yg bego elo benci kontol orang sana mungkin pernah bayang dapat uang besar juta rupiah belanja mr money akan jalan arah mata angin jalan cari siapa yg untung dapat uang besar juta rupiah saya uang kaget,-1
1794,erick diet dong kamu mirip sama anak sule eaak,1
1795,erick agama,1
1796,erick tampan arap mah bibir item wkwk benci buat erick kaya aowkk,1
1797,erick tampan,1
1798,erick tampan aku cowo,-1
1799,erick goblok,1
1800,erick fans kamu wkwkwkwk,1
1801,erick tidak hinaya aku lihat perutlu gemuk kontol lmu kecil jujur,1
1802,erick hatenya banyak si erick tahan,1
1803,erick is tampan,1
1804,erick jaqun kamu g liat anja,1
1805,erick jembod bully tambah kaya wkwkwk,1
1806,erick juta subscribe coli beneran katanyakamusoapking,1
1807,erick kalau toxic bukan erick,1
1808,erick kata kata mutiara save,1
1809,erick kena bait auto triggered,1
1810,erick eluh muka mirip kontoooooollllll,1
1811,erick tol,1
1812,erick kon no limits,1
1813,erick lim sma kim hime aku fans serasi kalau pacarang,1
1814,erick mirip main bola adam alis bhayangkara fc,1
1815,erick old back,1
1816,erick old is back mantabb,1
1817,erick pacar yuk toket aku d lohh,1
1818,erick pantat udah tebel sma komentar macam,-1
1819,erick rajin upload biar balik modal youtube rewind wkwk,1
1820,erick real life beda sama erick depan kamera benci only know he name but not he life,1
1821,erick sama reza bagus erick tolol dasar benci kontol beda erick sma arap erick kalau serius bijak arap kontol,-1
1822,erick satanis,1
1823,erick sok doi punya duit donggg kga lu,1
1824,erick tau cara buat benci tambah panas bakar jenggot,1
1825,erick tobat,1
1826,erick triggered,1
1827,erick upload videohaters banyak bacot yhaaaaa,1
1828,erick x kim hime,1
1829,erickcokli m fans kamu anjing main semarang sambut buah durian manteb,1
1830,erickentooooood,1
1831,erickkk,1
1832,erickkolim tampan,1
1833,ericko,1
1834,ericko aku minta kalau aku mau minta kamu kalau juta subscribe makan nasi goreng pake cicak sama ludah kamu,1
1835,ericko aku toxic haha,1
1836,ericko asli,1
1837,ericko bangkai,1
1838,ericko duet sama bowo tujuh like kowko,1
1839,ericko emang jago,1
1840,ericko tampan,1
1841,ericko gara ngikuti gaya bicara kamu jadi tenar sekolah sekolah panggil sama temen anak murid ericko,1
1842,ericko halilintar hahahhaha,1
1843,ericko jossss,1
1844,ericko kalau rambutny cepak mirip rizky febian,1
1845,ericko lim,1
1846,ericko lim,1
1847,ericko lim ajigkamuseru walaupun konten unfaedah ngehibur erick hibur lk di sini bukan buat kaum pantat tipis wkkwkw welcome to internet kidskamugk kasih makan terus orang tampil apa yangkamumau gitu pikir wkkwkwk kenal tidak goblok,-1
1848,ericko lim asli se toxic yg kamu pikir,1
1849,ericko lim banyak benci si benci nonton anjeeeng gobloggg gituuu,1
1850,ericko lim bicara,1
1851,ericko lim bukan kaleng kaleng gama,1
1852,ericko lim coba dong buat video toxic,1
1853,ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko lim ericko limerickoericko,1
1854,ericko lim for president,1
1855,ericko lim punya otak,1
1856,ericko lim tampan teladan aing,1
1857,ericko lim hmm,1
1858,ericko lim ikut ikut asa ni channel udah lama,1
1859,ericko lim is the bestin benci rick,1
1860,ericko lim motivator muda wkwkwk,1
1861,ericko lim jangan jadiin gwe teladan idola kalian jadiin gwe hibur buat kalian,-1
1862,ericko lim joker,1
1863,ericko lim just uploaded a video,1
1864,ericko lim king,1
1865,ericko lim ku kli bijak sangad,1
1866,ericko lim makan jembut this is haram bukan golong tobat ericko lim mumpung ada waktu,-1
1867,ericko lim memang idam wanita,1
1868,ericko lim ngemis subscribe,1
1869,ericko lim no limit pros come back,1
1870,ericko lim no limit pros wkkwkw asuu asuuu d,1
1871,ericko lim no limit pross,1
1872,ericko lim no limit pross is back,1
1873,ericko lim oppa no limit pros souw liong liow gamerz gaming,1
1874,ericko lim teladan,1
1875,ericko lim teladan q,1
1876,ericko lim pross udak gemar,1
1877,ericko lim sama arap lebih tahan ericko lim,1
1878,ericko lim tai sekarang mending dulu aku rindu pas subscribernya kan,-1
1879,ericko lim the best,1
1880,ericko lim toxic is comeback,1
1881,ericko lim ulu intro,1
1882,ericko lim yg sebar tak apa kalian pikir,1
1883,ericko lim you are fucking king usah peduli hatershit yaa keep toxic,1
1884,ericko limat nama bukan benci goblok,-1
1885,ericko limit pros,1
1886,ericko limited edition,1
1887,erickokamubikin tertawa liat tinggkahkamutoxic lbay wkwkwkwk,1
1888,ericko mahh imut and tampan,1
1889,ericko no limit pros,1
1890,ericko no limit pros gaming is back,1
1891,ericko no limit pros intro the best,1
1892,ericko no limit pros wkwkwkwkwkwkwkwkwkw,1
1893,ericko no limit pross adsense for life mhankk,1
1894,ericko no limit prosss is back madafakah,1
1895,ericko orang paling sabar indonesia ajg,1
1896,ericko baik yng komentar jelek tolol,-1
1897,ericko tetap hati,1
1898,ericko the best youtuber,1
1899,ericko the real king,1
1900,erickolim,1
1901,erickolim beli subscribe terus yg king of youtube indonesia gmna broo,1
1902,erickolim gilaaaaa,1
1903,erickolim tidak goblok dia orang pinter pura pura goblok,-1
1904,erickolim kaya artis korea,1
1905,erickolimkamuorang apa,1
1906,erickolim main game lagiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,1
1907,erickolim makasih pujianya malah tambah tenar cukks ngomong sopan,1
1908,erickolim no limit pros alphenlibe liongkong,1
1909,erickolim no limit pros issss baaaaaacccckkk,1
1910,erickolim nolimit pros is back,1
1911,erickolim nyari cewe buat nyari konten wkwkwk,1
1912,erickolim panutanqu,1
1913,erickolim taik kolap kamu sama banser,1
1914,erickolim tuhan aku,1
1915,erickollimnolimitproslu lucu bang a,1
1916,erickonolimitepros,1
1917,erickonolimitpros,1
1918,erickonolimitpros wkwkwkwk,1
1919,erickonos limos panutanqunos,1
1920,erickont l no limit voss,1
1921,erickonto mah kebal hatersdong ya,1
1922,erickontoru orang yg kebal benci,1
1923,erickontrol,1
1924,erickoo lopeyouuuu,1
1925,erickopros no limit,1
1926,erico lim beli subscribe aku,1
1927,erico lim buat video kamu lgi coli dong,1
1928,erico manusia lumba lumba,1
1929,ericoli erickon aku ngehate biar kamu kaya,1
1930,ericolim aku dukung kakak kakak teladan bangsa cuma chenel kakak yg faedah wkwkwk,1
1931,ericolim paling serius youtube rewind,1
1932,ericomenntro alan suryajana,1
1933,ericontol,1
1934,erik coli yuk,1
1935,erik erik erik erik,1
1936,erik tampan kalau liat jauh,1
1937,erik kapan live stream kentot coba luh lakuin channel luh langsung hilang report,1
1938,erik analog,1
1939,erik mirip bakso yaaaers makin kenal,1
1940,erik semangat pakkk,1
1941,erikco lim asu hina reza coba kamu ku hina ngadu mama,-1
1942,erikintil,1
1943,eriko like haha,1
1944,eriko lim angkat aku mirid kamu,1
1945,eriko lim kereatif njirr wkwk,1
1946,eriko lim main pubg mobile bareng yok,1
1947,eriko lim un atas parental advisory,1
1948,erikokamubacot main pung mobile hp kentang sampe chiken kata pro celeng,-1
1949,eriko mah tampan gitu lohhhhhhhhhhhhh,1
1950,erikolim mutu,1
1951,erikolim sampah,-1
1952,erikomoba nikahin aku dong i love your life stile and your kon l neng ngelakuinnya lebih baik support biar bisa lebih baik tentu yg comment jelek ericko lebih mapan dia,1
1953,erikonyink,1
1954,eriscon,1
1955,erlangga saputra kemarin,1
1956,erlangs ajak youtube rewind,1
1957,erocolim aku dukung kakak kakak teladan bangsa wkwkwk,1
1958,erpan,1
1959,erykoncy,1
1960,essss look at menit dah,1
1961,etd judul ngeselin heaters emg jht coeg kesel vtoxic karuan temen sekolah aku kadang aku iseng teriak jalan temen aku tetep fun fun sama memang omong hitam percaya buat ku suci,1
1962,ewean,1
1963,f,1
1964,f cking stupid boy,1
1965,f sn qxbx g sn,1
1966,fachrur rozi s wkwk biasa heaters yg cari sensasi doank bro biar orang bela dn yg paling bner aku ttap dukung ericko,1
1967,fack you dog,1
1968,faedah nggk,1
1969,fahri bang ah parahkamubang,1
1970,fak intro dugem gratis,1
1971,fak dah,1
1972,fak kecil,1
1973,fak konten tergood dunia,1
1974,fakboy kalibata city,1
1975,fakekamubang channel unfaedah,1
1976,fakkecil,1
1977,fakta eric lebih gaul deket sama orang grup belah mana lebih deket sama orang nyata hilang temen wkwkwk fuck,1
1978,falen tino ugiatsih great fucker,1
1979,family friendly,1
1980,family friendly bangettttt nihhh,1
1981,family friendly dunia kontol mantap bang ericko ibur,1
1982,family friendly tidak friendly hiya hiya hiya,1
1983,famzy ngomong apa kamu tong,1
1984,famzy terus nenek nenek makan,1
1985,famzy yg ngelawak siapa anjenk,1
1986,fans,1
1987,fans aku jan macem kamu kamu ngatain erick baku hantam kyta kymack,1
1988,fans beratkamulim,1
1989,fans from malaysiat ome tv dong bang yg stuju like,1
1990,fans ny jg,1
1991,fans t rtund,1
1992,fans tunda pernah dengar skinnyfabs wkwkw,1
1993,fans yg tunda benar paling absurd,1
1994,fatality bang org yg kaya gitu bencongtampatoket,1
1995,febri dwi laksono kaori noh idh mati cari kubur sagiri udah perawan kupake,1
1996,febri dwi laksono sagiri or kaori,1
1997,femeli frenli,1
1998,fendi gaming kamu ngomong agama,1
1999,fendi gamingkamuaja ngomong agama,1
2000,fernanda achmad aku dateng cuman buat dialike ama balesin komentar gemar sang puja manusia makan jembut kalau aku nonton entar siap yg hatersanya lord kalian,-1
2001,fernanda achmad aku dislike yg patutu dislike sampah erickolim sendiri paham kalau chanelnya chanel sampah didik kalau like berat ana like sampah,-1
2002,fight i masukin hati kata kata benci tod,1
2003,fiks orang dewasa,1
2004,filthy frank indonesian version,1
2005,filtyfrank lebih greget,1
2006,finally intro legend datang,1
2007,finaly intro jess no kntil,1
2008,finnaly intro legend siapa neng erick make intro,1
2009,firman gar biasa cok gausah ngegas mbot,1
2010,firman gar hormat mamak mu ada vagina tu youtuber baru rick mau bilang ati ati sama bro bro gore,-1
2011,first,1
2012,first dapet soapa serah benci lah anjing emangkamusiapa bngsd,1
2013,first disslike,1
2014,first pepek,1
2015,first time comment,1
2016,first unlike,1
