stemmed,sentiment,labeling,filtered,cekTF-IDF
benci jahad,1,tidak kasar,,tidak ada
benci jahat benci nama woy,1,tidak kasar,,tidak ada
benci anjenkkkkkkk,1,tidak kasar,,tidak ada
benci k nt,1,tidak kasar,,tidak ada
benci k nt l,1,tidak kasar,,tidak ada
benci kalah omong ngedislike videopen ajg hahaha,1,tidak kasar,,tidak ada
benci ngomong pikir pikir emang benci goblok,-1,kasar,goblok,ada
benci subscribe selow ae,1,tidak kasar,,tidak ada
benci solidaritas bangg,1,tidak kasar,,tidak ada
benci bebas,1,tidak kasar,,tidak ada
benci kaya,1,tidak kasar,,tidak ada
benci kaya waaaaaaaowwww,1,tidak kasar,,tidak ada
benci bakar coy uitdewasa wkwk,1,tidak kasar,,tidak ada
benci kintil,1,tidak kasar,,tidak ada
benci kontol,1,kasar,kontol,ada
benci jahat jahat takut generasi anak muda ngikutin gaya norma sopan didik,1,tidak kasar,,tidak ada
benci baca,1,tidak kasar,,tidak ada
benci goblok goblok yah wkwkk,-1,kasar,goblok goblok,ada
benci jahat,1,tidak kasar,,tidak ada
benci jahat yak fans yak,1,tidak kasar,,tidak ada
benci anjik,1,tidak kasar,,tidak ada
benci nonton tlol,1,tidak kasar,,tidak ada
benci nonton,1,tidak kasar,,tidak ada
benci pemubully sak anakbangsa yt rewind citra sponsor kaum elitglobal,1,tidak kasar,,tidak ada
benci toxic ck,1,tidak kasar,,tidak ada
benci komentar nontonin goblok,-1,kasar,goblok,ada
benci kontol,1,kasar,kontol,ada
benci kontol nyadar mak gaceng,1,kasar,kontol,ada
benci konten,1,tidak kasar,,tidak ada
benci konten adsense lanjayy,1,tidak kasar,,tidak ada
benci didik,1,tidak kasar,,tidak ada
benci kejam tiri u nongol rick nonton video dadak jd respect up channel agama terfamily friendly,1,tidak kasar,,tidak ada
benci like desu,1,tidak kasar,,tidak ada
haterskamudari kalang org miskin erick cari benci yg kaya dikit napa wakakakak,-1,kasar,miskin,ada
haterskamukalo berani eriko lim hateers goblok,-1,kasar,goblok,ada
benci bayi tabung smua erick sanss,1,tidak kasar,,tidak ada
haterskamubeli,1,tidak kasar,,tidak ada
haterskamubocah kotl rick,1,tidak kasar,,tidak ada
haterskamubodoamat soapking,1,tidak kasar,,tidak ada
haterskamugk tau nama anti vlog bang wkakakakaka,1,tidak kasar,,tidak ada
haterskamukbnykan makan micin,1,tidak kasar,,tidak ada
haterskamukebanyakan makan micin goblok,-1,kasar,goblok,ada
haterskamumayoritas bocah cuekin ngaruh,1,tidak kasar,,tidak ada
haterskamupada iri,1,tidak kasar,,tidak ada
haterskamupaling solidaritas bangg,1,tidak kasar,,tidak ada
benci mah kerja sirik,1,tidak kasar,,tidak ada
benci mah enak jidat,1,tidak kasar,,tidak ada
benci mah nolep erick cari salah org bahan bully,1,tidak kasar,,tidak ada
benci maha bang erik selow in tetep dukung elu,1,tidak kasar,,tidak ada
benci make be famous,1,tidak kasar,,tidak ada
benci make famous,1,tidak kasar,,tidak ada
benci make me famous,1,tidak kasar,,tidak ada
benci make me famous moga hatersnya eriko cpt pikir ngehujat dongo,1,tidak kasar,,tidak ada
benci make some money bang wkwkwkwkwk,1,tidak kasar,,tidak ada
benci make u famous,1,tidak kasar,,tidak ada
benci make u famous,1,tidak kasar,,tidak ada
benci make you famous rick,1,tidak kasar,,tidak ada
benci makhluk munafik gasuka tonton tau didik penasaran ken liat emang faedah perilaku gausah cerna pake otak tolol dasar biji hylos,-1,kasar,munafik tolol,ada
benci goblok,-1,kasar,goblok,ada
benci manusia ngehate benci manusia,1,tidak kasar,,tidak ada
benci jaman,1,tidak kasar,,tidak ada
benci cok,1,tidak kasar,,tidak ada
benci kaya,1,tidak kasar,,tidak ada
benci mental wkwkwkwk,1,tidak kasar,,tidak ada
benci micinn bngst,1,tidak kasar,,tidak ada
benci minum susukntlmanis ajakamupada,1,tidak kasar,,tidak ada
benci miskin erick kayazxuan celaka tutorial fanny kabel noclickbait,-1,kasar,miskin celaka,ada
benci mitos,1,tidak kasar,,tidak ada
benci money,1,tidak kasar,,tidak ada
benci money benci gosip tau money coyyyyyyy gokil ericko lim benci fans tunda,1,tidak kasar,,tidak ada
benci motivasi,1,tidak kasar,,tidak ada
benci ngebuat videodi benci teman benci,1,tidak kasar,,tidak ada
benci ngejekin ericko ericko,1,tidak kasar,,tidak ada
benci ngeroast ericko kebal pantek bakar kentot,-1,kasar,pantek,ada
benci nonton iklan,1,tidak kasar,,tidak ada
benci nonton kwkw,1,tidak kasar,,tidak ada
benci nonton videokamu view adsense,1,tidak kasar,,tidak ada
benci normal tegur auto pikir orang tegur auto fakta,1,tidak kasar,,tidak ada
benci bodoh orang kaya gin gituin doain waras,-1,kasar,bodoh,ada
benci dek dek an,1,tidak kasar,,tidak ada
benci goblok ngotak spekeowskwp pikir naikin subscribe gampang k subscribe susah banget yg bilang sampah merasz bersih juanggapan kasar hibur,-1,kasar,goblok sampah,ada
benci goblok murni tuhan sentuh didik,-1,kasar,goblok,ada
benci ngehina ngacaling jossu cm ngehibur lakuin yg lakuin walupun emg gila aga beda yg wkwkwk nonton seru ajasi,-1,kasar,gila,ada
benci komentar,1,tidak kasar,,tidak ada
benci like k unlikenya mwehehe,1,tidak kasar,,tidak ada
benci goblok sekolah anjenk hatersnya sekolah slb orang channel ngehibur channel faedah,-1,kasar,goblok,ada
benci orang ngiri channel mantab gin wkwkwk,1,tidak kasar,,tidak ada
benci orang yg ambil sisi negatif ambil positif buah jokes,1,tidak kasar,,tidak ada
benci otak bengkok,1,tidak kasar,,tidak ada
benci otak cuman sampah,-1,kasar,sampah,ada
benci pabrik duit salah paham,1,tidak kasar,,tidak ada
benci goblok anjig tenang rick bain jg kayakamumalah komunitas wkkwk idiot,-1,kasar,goblok idiot,ada
benci goblok tertawa aswca komentar lu,-1,kasar,goblok,ada
benci nonton video,1,tidak kasar,,tidak ada
benci ken kaya,1,tidak kasar,,tidak ada
benci dunia iblis iblis fans sejati nabi adam,1,tidak kasar,,tidak ada
benci pfft youtube milyaran video channel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,1,tidak kasar,,tidak ada
benci pingin sunatin pake golok njeng,1,tidak kasar,,tidak ada
benci ppq,1,tidak kasar,,tidak ada
benci orang youtuber,1,tidak kasar,,tidak ada
benci diam urusin orang nonton subscribe like bully kentot anak kontol,-1,kasar,kontol,ada
benci hmmmmmmmm,1,tidak kasar,,tidak ada
benci sok motivasi anjing sukak tonton,-1,kasar,anjing,ada
benci sumber uang,1,tidak kasar,,tidak ada
benci sumber uang bngsad,1,tidak kasar,,tidak ada
benci sumber uang mantep erick,1,tidak kasar,,tidak ada
benci sumber uang skwkkw,1,tidak kasar,,tidak ada
benci tau entertein,1,tidak kasar,,tidak ada
benci mempan soapking,1,tidak kasar,,tidak ada
benci tu org waras bg erik videobuat hibur benci trusik maklum sirik sirik tanda saing h,1,tidak kasar,,tidak ada
benci uang,1,tidak kasar,,tidak ada
benci urus turun pink guy wagelaseh ceramah wkkwkekw,1,tidak kasar,,tidak ada
benci tanggepin konten benci lolkin channel waras dikit channel kaya taik,1,tidak kasar,,tidak ada
benci greget liat video wkwkwkwkkw baca komentannnya,1,tidak kasar,,tidak ada
benci komennya baca eriko lim auto kaget cengang wkwkwkwkkw,1,tidak kasar,,tidak ada
benci yg bacot yg kaya,-1,kasar,bacot,ada
benci yg famous,1,tidak kasar,,tidak ada
benci yg bikinkamuterkenal kontol terusin video absurd goblok biar juta subscriber ajg,-1,kasar,kontol goblok,ada
benci youtube ato kaya,1,tidak kasar,,tidak ada
benci yuhuusatukan channel ericko limmm musnakan hatter benci peler konntoll laknant,1,tidak kasar,,tidak ada
hatersgoblogngacadulubarungomongseberapasangarmusuhaters,1,tidak kasar,,tidak ada
hatersnya bocah anjing,1,kasar,anjing,ada
hatersnya nonton benci erickolim ericko,1,tidak kasar,,tidak ada
hatersnya lucu lucu gaje hahahahaha ohh iya tampan rick,1,tidak kasar,,tidak ada
hatersnya so edgy cancer,1,tidak kasar,,tidak ada
hatersnya si astronot roket,1,tidak kasar,,tidak ada
haterss ngomonginkamugadapet duit tapikamungomongin benci dapet duit hahaha benci sumber uangg ngentotttttttt,-1,tidak kasar,,tidak ada
hates,1,tidak kasar,,tidak ada
hates comment lucu njir kgk ngotak hadeh otak benci si erick parah derita kanker otak njir wkwkwkwk,1,tidak kasar,,tidak ada
hatesr makan micin kali wkwkw,1,tidak kasar,,tidak ada
hatre,1,tidak kasar,,tidak ada
hatres engkau yg soapking kayannel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,1,tidak kasar,,tidak ada
hatrrs,1,tidak kasar,,tidak ada
hatter gone a hate,1,tidak kasar,,tidak ada
haters fans yg tunda wkwk,1,tidak kasar,,tidak ada
haters adsens,1,tidak kasar,,tidak ada
haters,1,tidak kasar,,tidak ada
haters ngebacott,1,tidak kasar,,tidak ada
haters bct,1,tidak kasar,,tidak ada
haters otak,1,tidak kasar,,tidak ada
haters goblok,-1,kasar,goblok,ada
haters muka kaya valkon tetp nonton ni channel,1,tidak kasar,,tidak ada
haters tau smua yg lakuin sma bang ericko fans tod video tonton lol,1,tidak kasar,,tidak ada
haters make you famous bang,1,tidak kasar,,tidak ada
haters otak gada,1,tidak kasar,,tidak ada
haters sampah nulis chanel cenel haha,-1,kasar,sampah,ada
haters sangad paranoid,1,tidak kasar,,tidak ada
haters sebenernya cmn iri bang haters gausah pikirin semangat bang karya,1,tidak kasar,,tidak ada
haters uang,1,tidak kasar,,tidak ada
have fun njing,1,tidak kasar,,tidak ada
hay ka yg ketemu ome tv ngeliat comment benci benci wkkwkw,1,tidak kasar,,tidak ada
hay,1,tidak kasar,,tidak ada
heater goblokkamuikut komentar ngebully duit,-1,tidak kasar,,tidak ada
heater heater panas,1,tidak kasar,,tidak ada
heaters,1,tidak kasar,,tidak ada
heaters,1,tidak kasar,,tidak ada
heaters,1,tidak kasar,,tidak ada
heaters bangsat tertawa kontol ajar inggris dlu todak channel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,1,kasar,bangsat kontol,ada
heaters cenel sungguh liar bahasa inggris,1,tidak kasar,,tidak ada
heaters hangat,1,tidak kasar,,tidak ada
heaters harga kerja keras k lim,1,tidak kasar,,tidak ada
heaters knt l wlwl,1,tidak kasar,,tidak ada
heaters subscribe,1,tidak kasar,,tidak ada
heaters komentar duit coy,1,tidak kasar,,tidak ada
heaters maha wkwkwk peacecko lim setel video wkwkwkwkwkwkwkwk,1,tidak kasar,,tidak ada
heaters ngediss like ah gula ganti micin,1,tidak kasar,,tidak ada
heaters ngediss like ah gula ganti micin,1,tidak kasar,,tidak ada
heaters panas,1,tidak kasar,,tidak ada
heatrs orang orang goblok,1,kasar,goblok,ada
heeeemmmmmmm bau vagina,-1,tidak kasar,,tidak ada
heeei wattsapp broo youtube riwend gimanakamubilang bakall karnakamugak pentingkamukira gogle sinting muncul jago sutuasi genting ahh kah idola anak ngefans gaya gamingkamuyang bobrok,-1,kasar,sinting,ada
heeh cing sabar w,1,tidak kasar,,tidak ada
hehkamubilang subscribe belikamuliat arap video subscribe elu k goblok kalahkamungikutin toxian arap lucukamusolusinya adalahkamumati yg bunuh,1,kasar,goblok,ada
hehe ngeri komenya,1,tidak kasar,,tidak ada
hehehe erickolim vs reza oktovian,1,tidak kasar,,tidak ada
hello benci,1,tidak kasar,,tidak ada
hellprint lookkit you just like bar bar man,1,tidak kasar,,tidak ada
helo,1,tidak kasar,,tidak ada
help pake henset hik,1,tidak kasar,,tidak ada
heppy erick,1,tidak kasar,,tidak ada
heran ama yg comment buruk ngapain nonton suka,1,tidak kasar,,tidak ada
heran benci udah tau yah erick tu isi channel kaya gin mas tonton,1,tidak kasar,,tidak ada
heran netijen ngegad ngntd yg ch kalem,1,tidak kasar,,tidak ada
here fck,1,tidak kasar,,tidak ada
heter,1,tidak kasar,,tidak ada
heter kontol atta halilintar buly ericko lim suka cakap kotorkamubulykamupilih klokkamuanak atta klokkamumau neng ketawa ykamuikuti orang yg lucu bahasa bro jdikamugk sok,-1,kasar,kontol,ada
heter sumber uang,1,tidak kasar,,tidak ada
heternya sub arap,1,tidak kasar,,tidak ada
benci,1,tidak kasar,,tidak ada
benci adsesne,1,tidak kasar,,tidak ada
benci is fucking crazy,1,tidak kasar,,tidak ada
benci orang mudah baper please ngemis like tuju like,1,tidak kasar,,tidak ada
benci jampes,1,tidak kasar,,tidak ada
heterskamukbnyakan micin wkwk,1,tidak kasar,,tidak ada
heterskamubanyak bet sabar erick,1,tidak kasar,,tidak ada
heterskamuiri bangg,1,tidak kasar,,tidak ada
benci ericko lim kaya tuju like,1,tidak kasar,,tidak ada
benci ericko bocah kwoowkwko,1,tidak kasar,,tidak ada
hetes hetos tw goblok manusia hewan yg cri makan goblok aj cri uang pke tenar org,-1,kasar,goblok goblok,ada
hetters baperan konten cumah hiburana,1,tidak kasar,,tidak ada
hetters kaum pantad tipid mudah bakar pantad upgrade nonton,1,tidak kasar,,tidak ada
hey,1,tidak kasar,,tidak ada
hey,1,tidak kasar,,tidak ada
hey guys its you re boy erickolim selamat channel agama family friendly diduniaaaa,1,tidak kasar,,tidak ada
hey nyabun ooooooo nyabun su,1,tidak kasar,,tidak ada
hey soapkingi am soaperseat powers comes a big responsibility,1,tidak kasar,,tidak ada
hey tayo,1,tidak kasar,,tidak ada
hey wassap ma fren,1,tidak kasar,,tidak ada
hey wassup ma fren,1,tidak kasar,,tidak ada
heyy,1,tidak kasar,,tidak ada
heyyy,1,tidak kasar,,tidak ada
hh,1,tidak kasar,,tidak ada
hha benci pojokin erick wkwk,1,tidak kasar,,tidak ada
hhh,1,tidak kasar,,tidak ada
hhhh lucu banget ericko,1,tidak kasar,,tidak ada
hhhh mamfos ente,1,tidak kasar,,tidak ada
hhhhh sabar dang ericko lim,1,tidak kasar,,tidak ada
hhhhhh,1,tidak kasar,,tidak ada
hhhmmm,1,tidak kasar,,tidak ada
hhhmmm bau vagina,-1,tidak kasar,,tidak ada
hhhmmmmmfffffttt,1,tidak kasar,,tidak ada
hhmmmm video ajar nyata komentar nyucub eri coli me hate comen,1,tidak kasar,,tidak ada
hhuuuupp bau vagina,-1,tidak kasar,,tidak ada
hi,1,tidak kasar,,tidak ada
hi jess,1,tidak kasar,,tidak ada
hi lupa mampir channel ku,1,tidak kasar,,tidak ada
hi soapking,1,tidak kasar,,tidak ada
hi tll,1,tidak kasar,,tidak ada
hibur menggangu njing,1,tidak kasar,,tidak ada
hibur anjinkkkkkkkk,1,tidak kasar,,tidak ada
hibur banget anjing,1,kasar,anjing,ada
hibur banget lol,1,tidak kasar,,tidak ada
hibur waras,1,tidak kasar,,tidak ada
hibur bang erick,1,tidak kasar,,tidak ada
hibur manfaat good,1,tidak kasar,,tidak ada
hibur menit,1,tidak kasar,,tidak ada
hidup adsense,1,tidak kasar,,tidak ada
hidup erickkk erick papa anjing komtolllll,1,kasar,anjing,ada
hidup ericko,1,tidak kasar,,tidak ada
hidup benci sutradara si,1,tidak kasar,,tidak ada
hidup pantad tebal,1,tidak kasar,,tidak ada
hidup pilih rnya elo bang,1,tidak kasar,,tidak ada
hidup soapking,1,tidak kasar,,tidak ada
hidup susah,1,tidak kasar,,tidak ada
high comment,1,tidak kasar,,tidak ada
hihi,1,tidak kasar,,tidak ada
hii,1,tidak kasar,,tidak ada
hii kim hime,1,tidak kasar,,tidak ada
hiiii,1,tidak kasar,,tidak ada
hilang stress,1,tidak kasar,,tidak ada
hili kintil,1,tidak kasar,,tidak ada
hime hime,1,tidak kasar,,tidak ada
hina santuuuyyy wkwkwk,-1,kasar,hina,ada
hiya hiya hiya,1,tidak kasar,,tidak ada
hiya hiya hiya hiya,1,tidak kasar,,tidak ada
hiya hiya hiyaa,1,tidak kasar,,tidak ada
hiyaa hiya hiyaaaa,1,tidak kasar,,tidak ada
hiyaaaaaaaa,1,tidak kasar,,tidak ada
hiyaaaahhh,1,tidak kasar,,tidak ada
hllo bang baruu,1,tidak kasar,,tidak ada
hmm,1,tidak kasar,,tidak ada
hmm ahh bau vagina,-1,tidak kasar,,tidak ada
hmm telat cium bau bau sabun,1,tidak kasar,,tidak ada
hmm bang ericko lim sabar ajh d,1,tidak kasar,,tidak ada
hmm bau m m k,1,tidak kasar,,tidak ada
hmm bau memeks,1,tidak kasar,,tidak ada
hmm cringe y yg ngomong benci fans yg tunda yutuber selebgram ngomongin benci ngomong gitu why gitu benci benci,1,tidak kasar,,tidak ada
hmm pdhl ericko channel mood org unsubs les subscribe si erick m benci pikir aplikasi yt hapus,1,tidak kasar,,tidak ada
hmm,1,tidak kasar,,tidak ada
hmmm,1,tidak kasar,,tidak ada
hmmm bang maksud we campur,1,tidak kasar,,tidak ada
hmmm bau memec,1,tidak kasar,,tidak ada
hmmm bau vagina,-1,tidak kasar,,tidak ada
hmmm bau mmk,1,tidak kasar,,tidak ada
hmmmm,1,tidak kasar,,tidak ada
hmmmm bau memec,1,tidak kasar,,tidak ada
hmmmm bau vagina,-1,tidak kasar,,tidak ada
hmmmm bau mmq,1,tidak kasar,,tidak ada
hmmmmm bau vagina,-1,tidak kasar,,tidak ada
hmmmmm hehhh,1,tidak kasar,,tidak ada
hmmmmmhhh bau memeq,1,tidak kasar,,tidak ada
hmmmmmhhhhhh bau m mek bedain konten entertaining ama didik netizen yg budiman nonton erik cuman ambil lucu doang emang hibur contoh sesimple anjingnl fuck the benci,1,tidak kasar,,tidak ada
hmmmmmm,1,tidak kasar,,tidak ada
hmmmmmm ahhh bau vagina,-1,tidak kasar,,tidak ada
hmmmmmm yg comment,1,tidak kasar,,tidak ada
hmmmmmmm,1,tidak kasar,,tidak ada
hmmmmmmmmmm bau vagina,-1,tidak kasar,,tidak ada
hmmmmmmmmmm bau vagina,-1,tidak kasar,,tidak ada
hmmmmppsssshhh ahhhh bau mem,1,tidak kasar,,tidak ada
hmmppsshh bau vagina,-1,tidak kasar,,tidak ada
hmmpshhh bau vagina,-1,tidak kasar,,tidak ada
hocus pocus trulasu,1,tidak kasar,,tidak ada
hode,1,tidak kasar,,tidak ada
hoho mudah ferguso,1,tidak kasar,,tidak ada
hohoho mudah ericko,1,tidak kasar,,tidak ada
holla erickolim,1,tidak kasar,,tidak ada
horny lihat pentilkamurick,1,tidak kasar,,tidak ada
horreee erick kaya wkwkwk dasar benci goblok,-1,kasar,goblok,ada
how is it got monetized wtf,1,tidak kasar,,tidak ada
humble,1,tidak kasar,,tidak ada
humor banget bang hibur,1,tidak kasar,,tidak ada
humor trlalu rendah boi,1,tidak kasar,,tidak ada
hussssshhhhh bau memekklo subscribe ama like vid,1,tidak kasar,,tidak ada
huuu abg guee,1,tidak kasar,,tidak ada
hy gaess,1,tidak kasar,,tidak ada
hy syang,1,tidak kasar,,tidak ada
hydup adil,1,tidak kasar,,tidak ada
i am gemar,1,tidak kasar,,tidak ada
i dont give a fuck a fucking bitch,1,tidak kasar,,tidak ada
i dont give a fuck you fucking bitch,1,tidak kasar,,tidak ada
i dont giveafuck with a hatrs,1,tidak kasar,,tidak ada
i dont like you t series,1,tidak kasar,,tidak ada
i feel so good when i hear the intro,1,tidak kasar,,tidak ada
i hate you,1,tidak kasar,,tidak ada
i have a dream,1,tidak kasar,,tidak ada
i have middle finger for you bro,1,tidak kasar,,tidak ada
i have some words for benci erick,1,tidak kasar,,tidak ada
i like gaya,1,tidak kasar,,tidak ada
i like it intro tetetetetet,1,tidak kasar,,tidak ada
i like this chanel,1,tidak kasar,,tidak ada
i like your intro,1,tidak kasar,,tidak ada
i like your opinion cobak bang,1,tidak kasar,,tidak ada
i like your style bg micin,1,tidak kasar,,tidak ada
i lop benci,1,tidak kasar,,tidak ada
i love bang eric senpai,1,tidak kasar,,tidak ada
i love ericko lim,1,tidak kasar,,tidak ada
i love erickolim,1,tidak kasar,,tidak ada
i love erickolim cko lim is back bitches,1,tidak kasar,,tidak ada
i love intro,1,tidak kasar,,tidak ada
i love soapersking,1,tidak kasar,,tidak ada
i love soapkingnd bang nya,1,tidak kasar,,tidak ada
i love this intro,1,tidak kasar,,tidak ada
i love tocil famous,1,tidak kasar,,tidak ada
i love toxic,1,tidak kasar,,tidak ada
i love u mathe fackers,1,tidak kasar,,tidak ada
i love you,1,tidak kasar,,tidak ada
i love you bang,1,tidak kasar,,tidak ada
i love you bang erick,1,tidak kasar,,tidak ada
i love you erick ummmmmmaaaaa g jijik tonton ginian nonton by the way tunggu skandal ody,1,kasar,tunggu,ada
i love you erickolim channel hilang stress,1,tidak kasar,,tidak ada
i love you ericontol,1,tidak kasar,,tidak ada
i love you erik,1,tidak kasar,,tidak ada
i love you haters bangsad,1,tidak kasar,,tidak ada
i love you jess no limit,1,tidak kasar,,tidak ada
i love you kontoruuuuuuuuuuuuuuuuuuuuuuu,1,tidak kasar,,tidak ada
i love you siska cantik,1,tidak kasar,,tidak ada
i love you soapkings aka ericko lim aka ericko timotius lim,1,tidak kasar,,tidak ada
i love you you have me,1,tidak kasar,,tidak ada
i love your toxic semangat bang,1,tidak kasar,,tidak ada
i m not one of those fuckin benci but dude you surely have to change the way you behave you must understand how kids nowadays receive things from a public figure like you if you re smart enough you know what the hell i mean can t wait to see you become better and smarter,1,tidak kasar,,tidak ada
i m gemar,1,tidak kasar,,tidak ada
i m gemar sejati,1,tidak kasar,,tidak ada
i m support you,1,tidak kasar,,tidak ada
i miss pink guy,1,tidak kasar,,tidak ada
i miss that intro,1,tidak kasar,,tidak ada
i need you erickkontoru,1,tidak kasar,,tidak ada
i see mas mas gore i click like,1,tidak kasar,,tidak ada
i see son of zeus at,1,tidak kasar,,tidak ada
i still support you,1,tidak kasar,,tidak ada
i support you,1,tidak kasar,,tidak ada
iam gemar,1,tidak kasar,,tidak ada
ian achmaddi iya betil bijaksanal,1,tidak kasar,,tidak ada
idol,1,tidak kasar,,tidak ada
idola ketawa pass nonton video bang kocak abesss karya y bang tau lakuin ngehibur,1,tidak kasar,,tidak ada
idola dahhhhh nonton biar dapet hibur yoi bang udel mendem lanjutin kontol ehh bego anjing kentot wehh seru uga benci bang udel mendem kasih saran kekamusemua benci orang mikirkamujadi benci faidahnya ngotak dikit ngapa komenin gakjelas doang gitu udah tau bang udel mendem emang ngasih tau bang udel mendem nama hiburankamukalo liat videoyang nonton tv untukkamubang udel mendem chanel yanv bahagia ngatainkamudulu biarkamutambah semangat fuckkk kentot kuda anak udeh gitu dah untukkamuproject yangkamubikin lancar biar biariin,-1,kasar,kontol bego anjing,ada
idola,1,tidak kasar,,tidak ada
idola cuih haha,1,tidak kasar,,tidak ada
idola ericko lim konten yg lucu neng ngmong kotor lucu anjing kwkw stay positif erick,1,kasar,anjing,ada
idola boyy,1,tidak kasar,,tidak ada
idung jambu,1,tidak kasar,,tidak ada
iericko lim soapking suara toddddddddddd,1,tidak kasar,,tidak ada
ifar dcmntry haduh toxik kaya mabuk,1,tidak kasar,,tidak ada
ih qorygore ting he,1,tidak kasar,,tidak ada
ik juta subscribe like,1,tidak kasar,,tidak ada
ikan anel ikan tongkol,1,tidak kasar,,tidak ada
ikan benci bang just keep doing what you think is good and entertain us moga cepet juta subscriber bang,1,tidak kasar,,tidak ada
iklan skip anjiiiinnggg,1,tidak kasar,,tidak ada
iklan skipp bngst nambahin yt rewind,1,tidak kasar,,tidak ada
iklan cuman banget anjing skip kontil,-1,kasar,anjing,ada
iklan anjer,1,tidak kasar,,tidak ada
iklan njing wkwk,1,tidak kasar,,tidak ada
iklan bayak betool,1,tidak kasar,,tidak ada
iklan skip knntttol,1,tidak kasar,,tidak ada
iklan ampe skipp,1,tidak kasar,,tidak ada
iklan skip ganti duit ytrd,1,tidak kasar,,tidak ada
iklan skip mudah anjiinnnkkkkkkk,1,tidak kasar,,tidak ada
iklan skip rick,1,tidak kasar,,tidak ada
iklan skip anjing,1,kasar,anjing,ada
iklan skip,1,tidak kasar,,tidak ada
iklan skip in video tod,1,tidak kasar,,tidak ada
iklan skip bang,1,tidak kasar,,tidak ada
iklan iklan iklan,1,tidak kasar,,tidak ada
iklan kagak skip cok,1,tidak kasar,,tidak ada
iklan maksa sekip,1,tidak kasar,,tidak ada
iklankamukebuanyaakkaaan,1,tidak kasar,,tidak ada
iklan menit skip,1,tidak kasar,,tidak ada
iklan menit skip,1,tidak kasar,,tidak ada
iklan menit skip anjing,1,kasar,anjing,ada
iklan menit skip,1,tidak kasar,,tidak ada
iklan mulu cok skip biji iklan,1,tidak kasar,,tidak ada
iklan ngak skip iklan menit detik ngak skip skip,1,tidak kasar,,tidak ada
iklan ny g skip woi,1,tidak kasar,,tidak ada
iklan doang woy,1,tidak kasar,,tidak ada
iklan ngeganggu banget,1,tidak kasar,,tidak ada
iklan erick,1,tidak kasar,,tidak ada
iklan udah ku skip fck,1,tidak kasar,,tidak ada
iklan x skip bang karya bang,1,tidak kasar,,tidak ada
iklan x skip bang karya bang,1,tidak kasar,,tidak ada
iklan atta halilintar,1,tidak kasar,,tidak ada
iklan njing skip,-1,tidak kasar,,tidak ada
iklan brave exvius,1,tidak kasar,,tidak ada
iklan,1,tidak kasar,,tidak ada
iklan saia skip pas sisa detik,1,tidak kasar,,tidak ada
iklanya banyakin tanda g duit kntlll,1,tidak kasar,,tidak ada
bully ahhh biar masuk yucub,1,tidak kasar,,tidak ada
hate comment ahhh,1,tidak kasar,,tidak ada
komentar,1,tidak kasar,,tidak ada
komeng ahh biar masuk tipi ehh yt mksdnya,1,tidak kasar,,tidak ada
rizalmawokawokawok,1,tidak kasar,,tidak ada
iluminaty,1,tidak kasar,,tidak ada
ilyas azzukruf nya udah hapus ama erick,1,tidak kasar,,tidak ada
im a soaper s,1,tidak kasar,,tidak ada
im enrei joo fuck bitch,1,tidak kasar,,tidak ada
im gemar,1,tidak kasar,,tidak ada
indo barbar,1,tidak kasar,,tidak ada
indonesia drama,1,tidak kasar,,tidak ada
indrac ch,1,tidak kasar,,tidak ada
infinite dab,1,tidak kasar,,tidak ada
influence creator,1,tidak kasar,,tidak ada
channel didik gaya humor erti mayoritas masyarakat indonesia example,1,tidak kasar,,tidak ada
ericko lim makan jeeeeemmmmbooooottttt jembut makan jembut otak inspirasi,-1,kasar,jembut jembut,ada
eriko lim makan jembbooooooot tretan muslim,1,tidak kasar,,tidak ada
benci repot kerja orang,1,tidak kasar,,tidak ada
anak anak jalan setan mermaidman,-1,kasar,setan,ada
mati bang,1,tidak kasar,,tidak ada
boss buka haters goblok channelnya yg sampah,-1,kasar,goblok sampah,ada
benci subscriber yg tunda,1,tidak kasar,,tidak ada
inget boy neraka yg nunggu,1,tidak kasar,,tidak ada
inget erick ngehina haters orang iri sukses keep strong and adsense erick wkwkwk,1,tidak kasar,,tidak ada
inget rick pacar turutin reactionkamupas comment,1,tidak kasar,,tidak ada
ku teriaakk,1,tidak kasar,,tidak ada
si bngst iklan banget,1,tidak kasar,,tidak ada
nama teladan q,1,tidak kasar,,tidak ada
ngentoddd bnget,1,tidak kasar,,tidak ada
bru hibur ngeliat org ngina ny sndri,1,tidak kasar,,tidak ada
bunda efek daki selangkang suruh channel youtube,1,tidak kasar,,tidak ada
chanel jokes,1,tidak kasar,,tidak ada
chanell hibur anjir jujur hibur video si erick soapking,1,kasar,anjir,ada
channel hibur,1,tidak kasar,,tidak ada
channel toxic,1,tidak kasar,,tidak ada
chenel friend family and didik,1,tidak kasar,,tidak ada
cuman channel hibur anggap serius ama orang ckckckck,1,tidak kasar,,tidak ada
ericko yg,1,tidak kasar,,tidak ada
golong,1,tidak kasar,,tidak ada
