,stemmed,sentiment,labeling
3419,jan serah erick juang hibur yee,1,tidak kasar
3420,jan ngurusin hidup orang bro,1,tidak kasar
3421,jan peduliin benci erick emng benci isi otak bocah smua emng kontenkamuitu didik klakuankamuyng kayak gitu smua hibur,-1,tidak kasar
3422,jancok,1,tidak kasar
3423,baca,1,tidak kasar
3424,bahas sara,1,tidak kasar
3425,bawa bawa qorygore lim plis,1,tidak kasar
3426,biarin orang ngejar mimpilu mimpi usaha,1,tidak kasar
3427,dengerin bang komentar benci karya toxic ttp youtuber favorite janji juta subscribe botak lowbudget kamera nokia orang kaya gitu anggap salam,1,tidak kasar
3428,dengerin benci bang karya,1,tidak kasar
3429,dengerin heaters pikirin kerja keras usaha mimpi mata,1,tidak kasar
3430,masukin hati benci tod,1,tidak kasar
3431,hapus channelny indo chanel yg didik coeg,1,tidak kasar
3432,hirau benci bang,1,tidak kasar
3433,dipeduliin bg,1,tidak kasar
3434,hapus channelny indo chanel yg didik coeg,1,tidak kasar
3435,hina erick fans katakatai erick,-1,kasar
3436,hirau benci ajg,1,tidak kasar
3437,khawatir bang iklan channel gwe skip support bang karya ba,1,tidak kasar
3438,khawatir lim salah hatterkamusupayakamubisa maju,1,tidak kasar
3439,lihat orang video lihat ericko lim amal sholeh,1,tidak kasar
3440,lupa coli,1,tidak kasar
3441,lupa follow instagram pan jrx gapake,1,tidak kasar
3442,lupa mampir my channel,1,tidak kasar
3443,lupa tekan tombol like x,1,tidak kasar
3444,makan omong orang bang tetep karya bang konteng toxic situ ketawa tertawa kesel buka channel langsung ketawa tertawa gara toxic bang,1,tidak kasar
3445,nilai buku sampul,1,tidak kasar
3446,mudah serah bang,1,tidak kasar
3447,nilai buku sampul,1,tidak kasar
3448,nilai orang covernya cuyy,1,tidak kasar
3449,nilai orang tampil,1,tidak kasar
3450,nyerah bang kene ndukung koe majukno channel iki su salam asu,1,tidak kasar
3451,peduli haterr,1,tidak kasar
3452,harap org yg kapasitas didik by cok muslim ssungguhnya y cma kapasitas,1,tidak kasar
3453,jelek rena yg ngebullykamuitu ciri khaskamuklwkamuberubahkamubukan ericko p,1,tidak kasar
3454,skip iklan boejankk,1,tidak kasar
3455,skip video awkakwkawkak nonton tau,1,tidak kasar
3456,takut bang gemar yg dukung,1,tidak kasar
3457,takut hina erick hahahah,-1,kasar
3458,tanggepin benci video benci ditanggepin video benci someone said,-1,tidak kasar
3459,tolol lahkamusemua bocah gblkkamucomment ngatur ericko hakkamuapa plerkamuitu situ tuhan ajg yg makan jembud yg ngerasain bukankamutaik yg ken melet nganggu hidupkamutolong tolol jan pelihara mendingankamumelihara ayam dikit tololkamubilang tolol buatkamuapa njing ngaruh ama hidupkamukankamubilang negarakamubuta kmrn asi games indonesia,-1,kasar
3460,utus teroris isis men takedown chanel agama family friendly dunia is this konspirasi iluminati,1,tidak kasar
3461,jangn urusin semangat bang,1,tidak kasar
3462,janji botak goblokkkk,1,tidak kasar
3463,janji botak udah tepatin lom shi,1,tidak kasar
3464,janji rickk botakk botak nunggu channel nunggu botak ilang,1,tidak kasar
3465,janjikamumana ajg juta subscribe botak,1,tidak kasar
3466,janjikamumana rickk botakk botak nunggu channelkamununggukamubotak ilang ya,1,tidak kasar
3467,java cheater serius brooo akun fake kali g,1,tidak kasar
3468,so simple mantab heaters mutiara coy,1,tidak kasar
3469,motivator,1,tidak kasar
3470,jdi hrs jdi soper benci biar hwhwhwoowowowoehwhwhhw,1,tidak kasar
3471,jdi pinkguy lgi ngapa,1,tidak kasar
3472,jdi youtubeer mudah cok benci nda ad otak bapakkau tanding bola gocek tonton,1,tidak kasar
3473,jebut anjing yg tetep gemar,1,kasar
3474,jefri junaidi liat tampan kagak ericko tampan juta subscribe emang kaya jefri subscribe,1,tidak kasar
3475,jendral ff kyak bngsd,1,tidak kasar
3476,jeprut,1,tidak kasar
3477,jes no mimin goblok,-1,kasar
3478,jessnolimit,1,tidak kasar
3479,jesswithlimit pedo,1,tidak kasar
3480,nama isis bang lacak tau lu,1,tidak kasar
3481,hapus chanel bang,1,tidak kasar
3482,lupa subscribe ade enriko lim gaesss cennel ade yg n,1,tidak kasar
3483,pikirin bang erick haters,1,tidak kasar
3484,jhoe ntn pasto ah kentot gilerickolim,1,tidak kasar
3485,jhoe ntn kirim wa lu,1,tidak kasar
3486,jhoe ntn u udah kentot gilerickolim,1,tidak kasar
3487,jijik,1,tidak kasar
3488,jijik anja sok seksi banget becanda balcore deathcore gaming unfaedah monggoh subscribe gan,1,tidak kasar
3489,jijik liat muka moga masuk neraka hell for you jink,1,tidak kasar
3490,jijik how to chanel how to basic subscribe darikamumemang darikamusubs k dlukamuudh hibur gila inget tu waktukamubikin videomake baju filthy frank yabg sus ngomong kentot wkw coba laah udah juta wkwk k an dikit yg hateklo kenal cocok pergi simpel,-1,kasar
3491,jijik nonton video didik unsuscrober,1,tidak kasar
3492,jijik tol l,1,tidak kasar
3493,jir tertawa,1,tidak kasar
3494,joke vulgar garing channel kontol l unsubscribed i quit bye,1,kasar
3495,jomblo,1,tidak kasar
3496,jones,1,tidak kasar
3497,jsjsjssnsjallajajqhwhakshs,1,tidak kasar
3498,juta isep pentil gaz rick wkwkwk,1,tidak kasar
3499,juta subscribe botax kin jembt,1,tidak kasar
3500,juta subscribe hapus chanel erick,1,tidak kasar
3501,juta subscribe amin,1,tidak kasar
3502,juta subscribe gada yg bain kwkwkwkw,1,tidak kasar
3503,juta subscribe kuat,1,tidak kasar
3504,juta subsciber botak,1,tidak kasar
3505,juta subscreb,1,tidak kasar
3506,juta subscribe botak botakk woooiiiii tytyd,1,tidak kasar
3507,juta subscribe botak mne vidionya udah hapus,1,tidak kasar
3508,juta subscribe gelud kuy,1,tidak kasar
3509,juta subscribe hapus chanel erick,1,tidak kasar
3510,juta subscribe live ngntd,1,tidak kasar
3511,juta subscribe live streaming coli,1,tidak kasar
3512,juta subscribe livestream coli tujuh like bro,1,tidak kasar
3513,juta subscribe reveal otong,1,tidak kasar
3514,juta subscribe tangangannya botak rick,1,tidak kasar
3515,jual iba bang,1,tidak kasar
3516,tekstidaktersedia,1,tidak kasar
3517,jugaujur sunat,1,tidak kasar
3518,jujur,1,tidak kasar
3519,jujur erico lim panutanqu orang toxic suka orang marah cewe dah ku ajak kentot elu biar anak ultra toxic bayangin keluarga toxic hidup rumah,1,tidak kasar
3520,jujur trmsk benci bang erick,1,tidak kasar
3521,jujur chanel hilang stresss,1,tidak kasar
3522,jujur hibur bang ericko lim bicara kasar,1,tidak kasar
3523,jujur males lihat muka rick njiirr,1,tidak kasar
3524,jujur tertawa pas menit,1,tidak kasar
3525,jujur orang pantang nyerah si reza rewind tetep prinsip,1,tidak kasar
3526,jujur ni chanel hibur bosan,1,tidak kasar
3527,jujur si kalih liat video luh fb disituh ketawa asik dengar elu yg takut chanel elu tolak google by the way google hapus chanel elu,1,tidak kasar
3528,julie bodo,1,tidak kasar
3529,junzzy haha kena bait lo,1,tidak kasar
3530,junzzy haters detected,1,tidak kasar
3531,junzzy males,1,tidak kasar
3532,just for money,1,tidak kasar
3533,gara toxic tertawa bang toxic sampe king of the toxic,1,tidak kasar
3534,ngatain channel hibur bro keluarin unek,1,tidak kasar
3535,orang bangke kaya gin lestari kembang biak lindung,1,tidak kasar
3536,yg yg nice comment jing,1,tidak kasar
3537,juta botak woy kontol,1,kasar
3538,juta bilang yg percaya wkwkwkwkwk,1,tidak kasar
3539,juta subscribe botak,1,tidak kasar
3540,juta subscribe botak kontol,1,kasar
3541,juta subscribe potong gundul njing,1,tidak kasar
3542,juta subscribe botak,1,tidak kasar
3543,juta subscribe cium cewek cipok teruss,1,tidak kasar
3544,k,1,tidak kasar
3545,k h o n t o l,1,tidak kasar
3546,k o n t o l,1,tidak kasar
3547,ka,1,tidak kasar
3548,ka eri kolim bahasa jaga,1,tidak kasar
3549,kaca,1,tidak kasar
3550,kacamata min bang,1,tidak kasar
3551,kadal gencet,1,tidak kasar
3552,kadal gencet wkwkwkkwkw ajg si,1,tidak kasar
3553,kadal gencet wkwkwkwkkw,1,tidak kasar
3554,kadang suka lucu benci komentar hate hewan abcd sok bijak benerin bahasakamukata abcdkamujuga rusak negara n generasi bocah,-1,tidak kasar
3555,suka nonton anjing ane tertawa goblo liat yt hibur,-1,kasar
3556,tau bosen erick jarang upload erpan lucu dah gitu tampan kaya,1,tidak kasar
3557,yg ngaruh njer wkwkw,1,tidak kasar
3558,kagak skip iklan adsense lu,1,tidak kasar
3559,kagak tod,1,tidak kasar
3560,kagak bela erick mah kagak peduli ma gituan,1,tidak kasar
3561,kaget intro wkwk,1,tidak kasar
3562,kaget njeeng,1,tidak kasar
3563,kagk pikirin bang benci bang karya bang hibur,1,tidak kasar
3564,kak ajar dengerin saran positif orang,1,tidak kasar
3565,kak erick tato gitu and rambut pirang ibadah nggk,1,tidak kasar
3566,kak ericko reza arap,1,tidak kasar
3567,kak dwi digultik bulungan tdi dah subscribe,1,tidak kasar
3568,kak ngomong kotor anak nonton,1,tidak kasar
3569,kak nama benci kakak ngentoters,1,tidak kasar
3570,kak erick tau gmna orang,1,tidak kasar
3571,kak tetep semangat yaaa bacotin netizen tepi kudu kuatt,1,tidak kasar
3572,kaka kocak,1,tidak kasar
3573,kaka rindu tete,1,tidak kasar
3574,kakak gantwng,1,tidak kasar
3575,kakak kim himetentangkamubang jfi sok,1,tidak kasar
3576,kakak lw,1,tidak kasar
3577,kakak sok pede,1,tidak kasar
3578,kakkk erikkkkkk love uuuuuuuu,1,tidak kasar
3579,ngebuka youtubs liat auto nonton,1,tidak kasar
3580,orang riau yg baca comment kuu hantam yok,1,tidak kasar
3581,banding arap tampan erick,1,tidak kasar
3582,batas g dpt adsense,1,tidak kasar
3583,didik maksud kategori channel didik serah rick konten hak bebas expresi channel youtube yg ngehalangi kreasi nonton channel hibur ketawa mulu konten tertawa,1,tidak kasar
3584,erik ngak tampan pacar,1,tidak kasar
3585,erick,1,tidak kasar
3586,top comment hapus emel hp guaa,1,tidak kasar
3587,haters ngesubscribe,1,tidak kasar
3588,jahat nama benci goblok,-1,kasar
3589,napa tonton,1,tidak kasar
3590,jhat seru khntl nnti neraka sepi,1,tidak kasar
3591,kagak comen jahat dapet duit,1,tidak kasar
3592,direndahin usaha taik,1,tidak kasar
3593,nyari faedah buka channel faedah bngsti tertawa,1,tidak kasar
3594,uncle ben with great powers comes a big responsibility,1,tidak kasar
3595,kelian suka tonton tonton komentar jelek duit ngalir yg komentar taik eriko,1,tidak kasar
3596,ketemu tai mukakamuyg kaya pisang sisir,-1,kasar
3597,konten berhasiat kagak negatif gitu aneh hubung elit global,-1,kasar
3598,ngehindar komentar sadis haters yg emang pro ea good kau boedjank hibur xd xd xd,1,tidak kasar
3599,liat liat muka ericko lim afif yulistian yak,1,tidak kasar
3600,ngebuly gitu,1,tidak kasar
3601,liat chanel didik dah faedah nntn chanel goblok hibur nntn ngata in tonton nntn tetep ajh kaya coayak gitu semangat rick,-1,kasar
3602,nonton sii erick maksa sii nonton,1,tidak kasar
3603,mggak suka usahnonton anjing,1,kasar
3604,pikir,1,tidak kasar
3605,pikir ngelakuin wkwk stuck situ,1,tidak kasar
3606,mode serius orang sok bijak,1,tidak kasar
3607,ngehate ngapa nonton nak,1,tidak kasar
3608,nyanyi gitu arti plagiat konten nonton vidiokamucuman doang yg haters ericolim tau batul karakter eric asli youtube rewind karya ericolim dkk sa bahaya simple tau layar bajing,-1,tidak kasar
3609,pinginya penginya komentar as an ing biar rame hahahaaa anjay maannn,1,tidak kasar
3610,tujuh ekspresi fantasi subscribe buatin videoincest tunggu,-1,kasar
3611,kalem,1,tidak kasar
3612,kalem bang mu dukung mu no toxic no life,1,tidak kasar
3613,yg nilai eriko lim,1,tidak kasar
3614,hate youtuber beli mobil rumah,1,tidak kasar
3615,benci fucking,1,tidak kasar
3616,hina erickolim jelek erickolim hibur maksud niat jahat komentar liat dlu,-1,kasar
3617,sosmed ngehina ericko mulu ngatain,1,tidak kasar
3618,klik warna biru,1,tidak kasar
3619,njing,1,tidak kasar
3620,suci penuh dosahhh,1,tidak kasar
3621,si bovo yt rewind yutuber auto unsub,1,tidak kasar
3622,channel kayakkamuapa dibully dibully gara niru ericko lim he dasarkamuplagiat konten ericko lim iya mksh,1,tidak kasar
3623,suka gosah nonton anjing,-1,kasar
3624,haterskamugak kaya bang wkwk,1,tidak kasar
3625,suka ush nonton bngst tolol sel sel zigot,1,kasar
3626,gamau anakkamujadi ericko lim gegara nonton vid ya suruh main gundu su bolehin liat yt,1,tidak kasar
3627,faedah yah tonton anjng,1,tidak kasar
3628,erik bodo bodo liat video lol bacot kaya,-1,kasar
3629,attahalilintar work hard pray hard lim,1,tidak kasar
3630,kalokamudijelekin berartikamulebih bagus,1,tidak kasar
3631,kalokamuheaters tonton urusin si erik goblok,-1,kasar
3632,kalokamungusik agama unsubkamurik udahkamudijalan kaya gin erick orang yg biar yutub flat,1,tidak kasar
3633,mamakamuyg suruh subscribe share yg sbcrib ric,1,tidak kasar
3634,video unfaedah,1,tidak kasar
3635,benci tu aset tebalin isi dompet hehehehe,1,tidak kasar
3636,mah ngomong jorok yaa dosanyakamusendiri yg nanggung kontenkamuga nyinggung agama politik jing,1,tidak kasar
3637,suka tontonkamulu dapet uang darimana erickontolim kankamutuh hatersnyakamucampur subscriber beli,1,tidak kasar
3638,nonton videoerico lim pake headset,1,tidak kasar
3639,subscriber mah benci kali youtube ig follow subscribe biar liat postingan video,1,tidak kasar
3640,kalou likenya,1,tidak kasar
3641,kalu erick konten ginikamusemua benci emang enjoy gitu biar ngehibur,1,tidak kasar
3642,kamprer iklan lag,1,tidak kasar
3643,ubah kak erick amin,1,tidak kasar
3644,baca emosi,1,tidak kasar
3645,bangga benci benci fans yg tunda rela buang cari kesahalan kesahalan ngehina,1,tidak kasar
3646,bilang suruh sopan ngomong sopan otak,1,tidak kasar
3647,emang tampan erick,1,tidak kasar
3648,erico lim videokamu faedah ma,1,tidak kasar
3649,tampan rick ulala,1,tidak kasar
3650,gantenggg,1,tidak kasar
3651,gentleman anjing mental mental hitler teman anjing yg ngehapus chanel,1,kasar
3652,gila nga nyadar fuck you,-1,kasar
3653,sugiono,1,tidak kasar
3654,jahat,1,tidak kasar
3655,jahat enak lim,1,tidak kasar
3656,kasar bang,1,tidak kasar
3657,katain chhannel orang aj blum benerr semangat erick kolim subcriber yg bnykk,1,tidak kasar
3658,erick mental kerupuk wkwkw,1,tidak kasar
3659,tipi yg didik,1,tidak kasar
3660,jamet si,1,tidak kasar
3661,laki cewe,1,tidak kasar
3662,licik jahat munafik dasaar anjjjiiiiiiiiiiiiiiiiiiing lacur,-1,kasar
3663,lucu bang santai,1,tidak kasar
3664,makan pepe aoa nonton,1,tidak kasar
3665,makan t rex hidup hidup coli emak,1,tidak kasar
3666,kaya santai bang,1,tidak kasar
3667,jorok jorokin,1,tidak kasar
3668,masuk neraka gaya,1,tidak kasar
3669,sok edgy gitu sok ngelawak bilang lucu ngelawak anjenk,1,tidak kasar
3670,tenar ngejatuhin temen youtubers,1,tidak kasar
3671,mesti jaga cakap,1,tidak kasar
3672,ngaku bintang,1,tidak kasar
3673,ngaku raja dsr tempe,1,tidak kasar
3674,ngemis subscribe,1,tidak kasar
3675,ngomong si,1,tidak kasar
3676,nilai org tod bsa nilai sndri mcem bnar fck,1,tidak kasar
3677,ning hapus channel arap juta subscribe sombong juta subscribe kaya udah dunia nye subscribe wkwkwk,1,tidak kasar
3678,nonton nulis komentar,1,tidak kasar
3679,nyangkutin dewa,1,tidak kasar
3680,nyari duit youtube duit hasil barokah erick,1,tidak kasar
3681,org riau,1,tidak kasar
3682,sensor tulis m m k tetep ngomong teriak gitu,1,tidak kasar
3683,sabar yah video hibur orang tau tujuh konten so usaha cuy,1,tidak kasar
3684,seksi marco assitennya maille hahaha tempee,1,tidak kasar
3685,setoxic dlu bang,1,tidak kasar
3686,suruh sapa,1,tidak kasar
3687,tau video jesnolimit jodie mabar,1,tidak kasar
3688,td bilang bangga,1,tidak kasar
3689,umur,1,tidak kasar
3690,yg gila,-1,kasar
3691,sesar,1,tidak kasar
3692,manusia akal gunain akal tel gitu,1,tidak kasar
3693,kang ulgi salah,1,tidak kasar
3694,kangen erickontoru erick keluarin lg,1,tidak kasar
3695,kangen dah intro,1,tidak kasar
3696,kangen intro anjingv,1,tidak kasar
3697,kangen intro,1,tidak kasar
3698,kangen intro,1,tidak kasar
3699,kangen intro wkwko,1,tidak kasar
3700,kangen intro tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tungtung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung tung,1,tidak kasar
3701,kangen intro njir wkwk,1,tidak kasar
3702,kangen konten badword pas pinkguy,1,tidak kasar
3703,kangen opening,1,tidak kasar
3704,kangen intro video,1,tidak kasar
3705,kangen dah ama intro c moga lancar y ganbatte,1,tidak kasar
3706,kanker ampe dengkul,1,tidak kasar
3707,kaowkwow benci erik bocah nak sok edgy dumay yg umurnyaa umur smp sma dh tau erick toxic ajaa dikomenin hatee kaoakwow,1,tidak kasar
3708,acara agama bang,1,tidak kasar
3709,tutorial colj erick,1,tidak kasar
3710,botak,1,tidak kasar
3711,botak bang ericko lim,1,tidak kasar
3712,botakkk suu,1,tidak kasar
3713,video pb anjing,1,kasar
3714,collab qory,1,tidak kasar
3715,collab qorygore bang tunggu dewa feat soapking,-1,kasar
3716,draw my life,1,tidak kasar
3717,botak rb subscribe botak,1,tidak kasar
3718,mati nek,1,tidak kasar
3719,coba orang yg rela makan jembodnya hibur subscribernya jijik tpkamuttp lakuin yg subscriber request benci org yg iri orang,1,tidak kasar
3720,maen pb,1,tidak kasar
3721,main pb tot,1,tidak kasar
3722,collab agung hapsah semenjak lihat snapgram janji collab agung hapsah nunggunungguin,1,tidak kasar
3723,ngegym bg,1,tidak kasar
3724,nikah,1,tidak kasar
3725,review mobilkamubang,1,tidak kasar
3726,rilis rewind tunggu,1,kasar
3727,upload videongentod,1,tidak kasar
3728,w haters kykkamurik,1,tidak kasar
3729,youtube rewind,1,tidak kasar
3730,kapten liong alhamdulilah verified wkwk,1,tidak kasar
3731,haterskamumakan kenyang hahahahahahahahahahahahahahaha,1,tidak kasar
3732,chanell didik subscribe,1,tidak kasar
3733,benci kaya n,1,tidak kasar
3734,kasar nipu hmmm,1,tidak kasar
3735,kasi gws,1,tidak kasar
3736,kasi bang ericko lim benci,1,tidak kasar
3737,kasi delo,1,tidak kasar
3738,kasi benci baperan wkwk dewasa wkwk,1,tidak kasar
3739,kasi jess no duit,1,tidak kasar
3740,kasiankamutod kacang,1,tidak kasar
3741,kasi benci bacot miskin u todak channel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,-1,kasar
3742,kasi erick yg komentar benci ngetik g dapet duit tapikamumbacain komentar dapet duit,-1,tidak kasar
3743,kasih subscriber biar dapet adsense,1,tidak kasar
3744,kasihankamubang,1,tidak kasar
3745,beli likernya,1,tidak kasar
3746,haters bngst,1,tidak kasar
3747,inspirasi,1,tidak kasar
3748,kasar sensor biar gal anak liat saran,1,tidak kasar
3749,pribahasa yg,1,tidak kasar
3750,botak bang wkwkwk,1,tidak kasar
3751,dibotakin tol,1,tidak kasar
3752,mutiara terdabes,1,tidak kasar
3753,channel family freindly ngomong kaya gitu fp,1,tidak kasar
3754,bain ericko lim bain njink,1,tidak kasar
3755,eric subscribernya beli eric usaha goblokkamucuma ngomongin orang eric subscribe soapking dukung ericolim,-1,tidak kasar
3756,erik beli subscribe bayar subscribe seru,1,tidak kasar
3757,suruh unsubscribe,1,tidak kasar
3758,hibur faedah,1,tidak kasar
3759,katain si lim org gila maaf yaang gila,-1,kasar
3760,yg bilang channelkamuisinya dark joke,1,tidak kasar
3761,botak,1,tidak kasar
3762,botakkamurick,1,tidak kasar
3763,nice dude,1,tidak kasar
3764,kaum astronot roket,1,tidak kasar
3765,kautuh bodo kautu,1,tidak kasar
3766,kaya kenal ngomong bantu n jembut coba,-1,kasar
3767,apiip,1,tidak kasar
3768,ngedit erpan,1,tidak kasar
3769,kayak ngedit erpan,1,tidak kasar
3770,kayan arap lim,1,tidak kasar
3771,tekstidaktersedia,1,tidak kasar
3772,ni bangsad,1,tidak kasar
3773,organisasi prostitusi indonesia channel erick subang,1,tidak kasar
3774,tampan,1,tidak kasar
3775,triggerd benci ea,1,tidak kasar
3776,kebal,1,tidak kasar
3777,kebal bait ea,1,tidak kasar
3778,kebal goblok bully erik,-1,kasar
3779,asem yg hate komentar kekamuuda yg nice komentar yg biasagmn sihwk erkolim is the best,1,tidak kasar
3780,drama lu,1,tidak kasar
3781,haterskamupakai akun abal abal,1,tidak kasar
3782,iklan kentod,1,tidak kasar
3783,iklan kontol,1,kasar
3784,yg nontonkamupaket hape goblok,-1,kasar
3785,keep calm,1,tidak kasar
3786,keep charming rick gantung tonton nanggapi videokamumenurut karya sihh,1,tidak kasar
3787,keep it going brother,1,tidak kasar
3788,keep it going rick,1,tidak kasar
3789,keep rising madafaka,1,tidak kasar
3790,keep gemar h gg,1,tidak kasar
3791,keep strong soap kingg,1,tidak kasar
3792,keep up the good work bang gaussh peduliin benci dapet adsense iya kagak,1,tidak kasar
3793,gelap terang wokwowkwkw bang,1,tidak kasar
3794,habis akal gin dah cari adsensenya nak kontol,1,kasar
3795,habis konten si anjenkkk,1,tidak kasar
3796,habis konten bang biar biaya youtube rewind,1,tidak kasar
3797,kejar jessss,1,tidak kasar
3798,benci tertawa heterss sebenernya ntuhh nontonkamuduluu bang haterss hala mah nonton video luuu wkwkwkwkwk,1,tidak kasar
3799,nya haterskamujg yg indonesia maju farhan bodoh tulang wkwk yg malu in indonesia jg eh yg ngatain goblok tulang,1,kasar
3800,reza arap wk baca baca komentar benci,1,tidak kasar
3801,kek comment haternya,1,tidak kasar
3802,kek hetters goblok emank goblok wkwkwk,-1,kasar
3803,kelahi ja bungul tambuk,1,tidak kasar
3804,laku ku erick toxic,-1,tidak kasar
3805,kelean lupa teladan pantad tebal,1,tidak kasar
3806,toxic nyajadi ken benci erick mantaaapp,1,tidak kasar
3807,keluarga qymak,1,tidak kasar
3808,keluarin katainkamubang bunuh atu atu,1,tidak kasar
3809,makkk kangen,1,tidak kasar
3810,kemarin makan bulu ketek plus jembut anjing,-1,kasar
3811,intro get ready for the wa lyf,1,tidak kasar
3812,kembang tot dukung,1,tidak kasar
3813,ken dadi heter dehh,1,tidak kasar
3814,ken benci gemar wkwkwk,1,tidak kasar
3815,ken tau org yg dislike ni video ajak gelut ajx,1,tidak kasar
3816,kenal cemar dah tu,1,tidak kasar
3817,kenal kali,1,tidak kasar
3818,presiden gore,1,tidak kasar
3819,erickolim niru gaya franky,1,tidak kasar
3820,ama kim hime udah nyoba m m k org jepang big t taya lo,1,tidak kasar
3821,iklan luh moba analoggggg qimakkkkkkkkkkk,1,tidak kasar
3822,komentar arap kmren hapus dibacain,1,tidak kasar
3823,kenapakamungomong cchannel majelis lucu,1,tidak kasar
3824,vagina ngilu yg muncul ajg,-1,tidak kasar
3825,vagina ngilu wkwkwkwwkk bacot dikommentkamucuma unsub lapor yg gitu miskin,-1,kasar
3826,orang benci nambahin dosa doang,-1,kasar
3827,sih ngatain erick video didik anak benci bilang erick didik orang didik,1,tidak kasar
3828,nanyaaa whahahahha goblok,-1,kasar
3829,kentod,1,tidak kasar
3830,kepo njing,1,tidak kasar
3831,rad,1,tidak kasar
3832,keradd,1,tidak kasar
3833,keradd erick wkwkwk,1,tidak kasar
3834,keradeokamugua download bacol hehe,1,tidak kasar
3835,kerasin volume cok,1,tidak kasar
3836,kereeennnn benci auto kayaaa hahahaha,1,tidak kasar
3837,kerek jancok cok,1,tidak kasar
3838,keren benci bang riko lim yaa wkwkwk,1,tidak kasar
3839,kerenkamuanjing,-1,tidak kasar
3840,kerja benci kerja,1,tidak kasar
3841,ketemu ama njing,1,tidak kasar
3842,ketemu ericko lim foto wkwk,1,tidak kasar
3843,comment benci baca,1,tidak kasar
3844,org sembunyiin komentar jelek jadiin konten cerdas ten ngebosenin nora,-1,kasar
3845,kiamat bentar ya allah,1,tidak kasar
3846,kiamat besok,1,tidak kasar
3847,kiano pratama maksud aduh maaf sirik,1,tidak kasar
3848,kim auto colmek,1,tidak kasar
3849,kim hime nonton khentot,1,tidak kasar
3850,kim hime sangee,1,tidak kasar
3851,kim,1,tidak kasar
3852,kimcil,1,tidak kasar
3853,kim hime bacol,1,tidak kasar
3854,kim pansos,1,tidak kasar
3855,king tampan ngejelekin hibur oranggue suka gaya by the way boong,1,tidak kasar
3856,king of the real gemar,1,tidak kasar
3857,king toxic pokok toxic kalok toxic erico kenall,1,tidak kasar
3858,kintil video motivasi bang eric salam family friendly,1,tidak kasar
3859,kintl,1,tidak kasar
3860,kirain intro nyampe jam tai,-1,kasar
3861,kirim diamod kak,1,tidak kasar
3862,kirim iphone k,1,tidak kasar
3863,ambil hibur si lucu laku nolkamuyg kadang garuk pele mah,1,tidak kasar
3864,mu erik hhahahah,1,tidak kasar
3865,rela laku bodoh orang tertawa,-1,kasar
3866,tidur nonton,-1,tidak kasar
3867,tonton subscribe eric biar kaya,1,tidak kasar
3868,klik baca lengkap,1,tidak kasar
3869,klik iklan bego biar erick kaya adsense,-1,kasar
3870,benci didengerin lagu fatfabs,1,tidak kasar
3871,iklan muncul g nonton mnding gnti video,1,tidak kasar
3872,pribadi bodoamatkamumau konten yg didik or clickbet yg hibur godbless bro,1,tidak kasar
3873,videomacem auto kaya ya wkakaka,1,tidak kasar
3874,bole bilang,1,tidak kasar
3875,ngereport jumpscare gin masuk kategori yak lg enak nyimak tb soundnya jd annoying tau lg jantung,1,tidak kasar
3876,ngehate langsung ketemu orang comment,1,tidak kasar
3877,klok benci arti uang,1,tidak kasar
3878,klow makh liat chanel lu,1,tidak kasar
3879,anjing,1,kasar
3880,kngen intro lim,1,tidak kasar
3881,knp bnyk yg bilang didik publish arti ngapain nonton,1,tidak kasar
3882,knp ytbr toxic gaboleh kagk,1,tidak kasar
3883,knp key words family friendly yg muncul ajg,1,tidak kasar
3884,knp si orang indo dwa dewain arap,1,tidak kasar
3885,knp yah liat videokamupsti tertawa h h h,1,tidak kasar
3886,knt l,1,tidak kasar
3887,knt motivasi g,1,tidak kasar
3888,kontol,1,kasar
3889,kontol iklan tiktok,1,kasar
3890,kontol iklanny ajg gaada yg w skip asu,1,kasar
3891,kontol bang,1,kasar
3892,kontol kental,1,kasar
3893,kontol lim bijak wkwkw naise lanjutt,1,kasar
3894,kntlkamubang,1,tidak kasar
3895,kntlkamuriku hate komentar biar dibacain,1,tidak kasar
3896,kontol manisss,1,kasar
