stemmed,sentiment,labeling,filtered
benci yuhuusatukan channel ericko limmm musnakan hatter benci peler konntoll laknant,1,tidak kasar,
hatersgoblogngacadulubarungomongseberapasangarmusuhaters,1,tidak kasar,
hatersnya bocah anjing,1,kasar,anjing
hatersnya nonton benci erickolim ericko,1,tidak kasar,
hatersnya lucu lucu gaje hahahahaha ohh iya tampan rick,1,tidak kasar,
hatersnya so edgy cancer,1,tidak kasar,
hatersnya si astronot roket,1,tidak kasar,
haterss ngomonginkamugadapet duit tapikamungomongin benci dapet duit hahaha benci sumber uangg ngentotttttttt,-1,tidak kasar,
hates,1,tidak kasar,
hates comment lucu njir kgk ngotak hadeh otak benci si erick parah derita kanker otak njir wkwkwkwk,1,tidak kasar,
hatesr makan micin kali wkwkw,1,tidak kasar,
hatre,1,tidak kasar,
hatres engkau yg soapking kayannel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,1,tidak kasar,
hatrrs,1,tidak kasar,
hatter gone a hate,1,tidak kasar,
haters fans yg tunda wkwk,1,tidak kasar,
haters adsens,1,tidak kasar,
haters,1,tidak kasar,
haters ngebacott,1,tidak kasar,
haters bct,1,tidak kasar,
haters otak,1,tidak kasar,
haters goblok,-1,kasar,goblok
haters muka kaya valkon tetp nonton ni channel,1,tidak kasar,
haters tau smua yg lakuin sma bang ericko fans tod video tonton lol,1,tidak kasar,
haters make you famous bang,1,tidak kasar,
haters otak gada,1,tidak kasar,
haters sampah nulis chanel cenel haha,-1,kasar,sampah
haters sangad paranoid,1,tidak kasar,
haters sebenernya cmn iri bang haters gausah pikirin semangat bang karya,1,tidak kasar,
haters uang,1,tidak kasar,
have fun njing,1,tidak kasar,
hay ka yg ketemu ome tv ngeliat comment benci benci wkkwkw,1,tidak kasar,
hay,1,tidak kasar,
heater goblokkamuikut komentar ngebully duit,-1,tidak kasar,
heater heater panas,1,tidak kasar,
heaters,1,tidak kasar,
heaters,1,tidak kasar,
heaters,1,tidak kasar,
heaters bangsat tertawa kontol ajar inggris dlu todak channel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,1,kasar,bangsat kontol
heaters cenel sungguh liar bahasa inggris,1,tidak kasar,
heaters hangat,1,tidak kasar,
heaters harga kerja keras k lim,1,tidak kasar,
heaters knt l wlwl,1,tidak kasar,
heaters subscribe,1,tidak kasar,
heaters komentar duit coy,1,tidak kasar,
heaters maha wkwkwk peacecko lim setel video wkwkwkwkwkwkwkwk,1,tidak kasar,
heaters ngediss like ah gula ganti micin,1,tidak kasar,
heaters ngediss like ah gula ganti micin,1,tidak kasar,
heaters panas,1,tidak kasar,
heatrs orang orang goblok,1,kasar,goblok
heeeemmmmmmm bau vagina,-1,tidak kasar,
heeei wattsapp broo youtube riwend gimanakamubilang bakall karnakamugak pentingkamukira gogle sinting muncul jago sutuasi genting ahh kah idola anak ngefans gaya gamingkamuyang bobrok,-1,kasar,sinting
heeh cing sabar w,1,tidak kasar,
hehkamubilang subscribe belikamuliat arap video subscribe elu k goblok kalahkamungikutin toxian arap lucukamusolusinya adalahkamumati yg bunuh,1,kasar,goblok
hehe ngeri komenya,1,tidak kasar,
hehehe erickolim vs reza oktovian,1,tidak kasar,
hello benci,1,tidak kasar,
hellprint lookkit you just like bar bar man,1,tidak kasar,
helo,1,tidak kasar,
help pake henset hik,1,tidak kasar,
heppy erick,1,tidak kasar,
heran ama yg comment buruk ngapain nonton suka,1,tidak kasar,
heran benci udah tau yah erick tu isi channel kaya gin mas tonton,1,tidak kasar,
heran netijen ngegad ngntd yg ch kalem,1,tidak kasar,
here fck,1,tidak kasar,
heter,1,tidak kasar,
heter kontol atta halilintar buly ericko lim suka cakap kotorkamubulykamupilih klokkamuanak atta klokkamumau neng ketawa ykamuikuti orang yg lucu bahasa bro jdikamugk sok,-1,kasar,kontol
heter sumber uang,1,tidak kasar,
heternya sub arap,1,tidak kasar,
benci,1,tidak kasar,
benci adsesne,1,tidak kasar,
benci is fucking crazy,1,tidak kasar,
benci orang mudah baper please ngemis like tuju like,1,tidak kasar,
benci jampes,1,tidak kasar,
heterskamukbnyakan micin wkwk,1,tidak kasar,
heterskamubanyak bet sabar erick,1,tidak kasar,
heterskamuiri bangg,1,tidak kasar,
benci ericko lim kaya tuju like,1,tidak kasar,
benci ericko bocah kwoowkwko,1,tidak kasar,
hetes hetos tw goblok manusia hewan yg cri makan goblok aj cri uang pke tenar org,-1,kasar,goblok goblok
hetters baperan konten cumah hiburana,1,tidak kasar,
hetters kaum pantad tipid mudah bakar pantad upgrade nonton,1,tidak kasar,
hey,1,tidak kasar,
hey,1,tidak kasar,
hey guys its you re boy erickolim selamat channel agama family friendly diduniaaaa,1,tidak kasar,
hey nyabun ooooooo nyabun su,1,tidak kasar,
hey soapkingi am soaperseat powers comes a big responsibility,1,tidak kasar,
hey tayo,1,tidak kasar,
hey wassap ma fren,1,tidak kasar,
hey wassup ma fren,1,tidak kasar,
heyy,1,tidak kasar,
heyyy,1,tidak kasar,
hh,1,tidak kasar,
hha benci pojokin erick wkwk,1,tidak kasar,
hhh,1,tidak kasar,
hhhh lucu banget ericko,1,tidak kasar,
hhhh mamfos ente,1,tidak kasar,
hhhhh sabar dang ericko lim,1,tidak kasar,
hhhhhh,1,tidak kasar,
hhhmmm,1,tidak kasar,
hhhmmm bau vagina,-1,tidak kasar,
hhhmmmmmfffffttt,1,tidak kasar,
hhmmmm video ajar nyata komentar nyucub eri coli me hate comen,1,tidak kasar,
hhuuuupp bau vagina,-1,tidak kasar,
hi,1,tidak kasar,
hi jess,1,tidak kasar,
hi lupa mampir channel ku,1,tidak kasar,
hi soapking,1,tidak kasar,
hi tll,1,tidak kasar,
hibur menggangu njing,1,tidak kasar,
hibur anjinkkkkkkkk,1,tidak kasar,
hibur banget anjing,1,kasar,anjing
hibur banget lol,1,tidak kasar,
hibur waras,1,tidak kasar,
hibur bang erick,1,tidak kasar,
hibur manfaat good,1,tidak kasar,
hibur menit,1,tidak kasar,
hidup adsense,1,tidak kasar,
hidup erickkk erick papa anjing komtolllll,1,kasar,anjing
hidup ericko,1,tidak kasar,
hidup benci sutradara si,1,tidak kasar,
hidup pantad tebal,1,tidak kasar,
hidup pilih rnya elo bang,1,tidak kasar,
hidup soapking,1,tidak kasar,
hidup susah,1,tidak kasar,
high comment,1,tidak kasar,
hihi,1,tidak kasar,
hii,1,tidak kasar,
hii kim hime,1,tidak kasar,
hiiii,1,tidak kasar,
hilang stress,1,tidak kasar,
hili kintil,1,tidak kasar,
hime hime,1,tidak kasar,
hina santuuuyyy wkwkwk,-1,kasar,hina
hiya hiya hiya,1,tidak kasar,
hiya hiya hiya hiya,1,tidak kasar,
hiya hiya hiyaa,1,tidak kasar,
hiyaa hiya hiyaaaa,1,tidak kasar,
hiyaaaaaaaa,1,tidak kasar,
hiyaaaahhh,1,tidak kasar,
hllo bang baruu,1,tidak kasar,
hmm,1,tidak kasar,
hmm ahh bau vagina,-1,tidak kasar,
hmm telat cium bau bau sabun,1,tidak kasar,
hmm bang ericko lim sabar ajh d,1,tidak kasar,
hmm bau m m k,1,tidak kasar,
hmm bau memeks,1,tidak kasar,
hmm cringe y yg ngomong benci fans yg tunda yutuber selebgram ngomongin benci ngomong gitu why gitu benci benci,1,tidak kasar,
hmm pdhl ericko channel mood org unsubs les subscribe si erick m benci pikir aplikasi yt hapus,1,tidak kasar,
hmm,1,tidak kasar,
hmmm,1,tidak kasar,
hmmm bang maksud we campur,1,tidak kasar,
hmmm bau memec,1,tidak kasar,
hmmm bau vagina,-1,tidak kasar,
hmmm bau mmk,1,tidak kasar,
hmmmm,1,tidak kasar,
hmmmm bau memec,1,tidak kasar,
hmmmm bau vagina,-1,tidak kasar,
hmmmm bau mmq,1,tidak kasar,
hmmmmm bau vagina,-1,tidak kasar,
hmmmmm hehhh,1,tidak kasar,
hmmmmmhhh bau memeq,1,tidak kasar,
hmmmmmhhhhhh bau m mek bedain konten entertaining ama didik netizen yg budiman nonton erik cuman ambil lucu doang emang hibur contoh sesimple anjingnl fuck the benci,1,tidak kasar,
hmmmmmm,1,tidak kasar,
hmmmmmm ahhh bau vagina,-1,tidak kasar,
hmmmmmm yg comment,1,tidak kasar,
hmmmmmmm,1,tidak kasar,
hmmmmmmmmmm bau vagina,-1,tidak kasar,
hmmmmmmmmmm bau vagina,-1,tidak kasar,
hmmmmppsssshhh ahhhh bau mem,1,tidak kasar,
hmmppsshh bau vagina,-1,tidak kasar,
hmmpshhh bau vagina,-1,tidak kasar,
hocus pocus trulasu,1,tidak kasar,
hode,1,tidak kasar,
hoho mudah ferguso,1,tidak kasar,
hohoho mudah ericko,1,tidak kasar,
holla erickolim,1,tidak kasar,
horny lihat pentilkamurick,1,tidak kasar,
horreee erick kaya wkwkwk dasar benci goblok,-1,kasar,goblok
how is it got monetized wtf,1,tidak kasar,
humble,1,tidak kasar,
humor banget bang hibur,1,tidak kasar,
humor trlalu rendah boi,1,tidak kasar,
hussssshhhhh bau memekklo subscribe ama like vid,1,tidak kasar,
huuu abg guee,1,tidak kasar,
hy gaess,1,tidak kasar,
hy syang,1,tidak kasar,
hydup adil,1,tidak kasar,
i am gemar,1,tidak kasar,
i dont give a fuck a fucking bitch,1,tidak kasar,
i dont give a fuck you fucking bitch,1,tidak kasar,
i dont giveafuck with a hatrs,1,tidak kasar,
i dont like you t series,1,tidak kasar,
i feel so good when i hear the intro,1,tidak kasar,
i hate you,1,tidak kasar,
i have a dream,1,tidak kasar,
i have middle finger for you bro,1,tidak kasar,
i have some words for benci erick,1,tidak kasar,
i like gaya,1,tidak kasar,
i like it intro tetetetetet,1,tidak kasar,
i like this chanel,1,tidak kasar,
i like your intro,1,tidak kasar,
i like your opinion cobak bang,1,tidak kasar,
i like your style bg micin,1,tidak kasar,
i lop benci,1,tidak kasar,
i love bang eric senpai,1,tidak kasar,
i love ericko lim,1,tidak kasar,
i love erickolim,1,tidak kasar,
i love erickolim cko lim is back bitches,1,tidak kasar,
i love intro,1,tidak kasar,
i love soapersking,1,tidak kasar,
i love soapkingnd bang nya,1,tidak kasar,
i love this intro,1,tidak kasar,
i love tocil famous,1,tidak kasar,
i love toxic,1,tidak kasar,
i love u mathe fackers,1,tidak kasar,
i love you,1,tidak kasar,
i love you bang,1,tidak kasar,
i love you bang erick,1,tidak kasar,
i love you erick ummmmmmaaaaa g jijik tonton ginian nonton by the way tunggu skandal ody,1,kasar,tunggu
i love you erickolim channel hilang stress,1,tidak kasar,
i love you ericontol,1,tidak kasar,
i love you erik,1,tidak kasar,
i love you haters bangsad,1,tidak kasar,
i love you jess no limit,1,tidak kasar,
i love you kontoruuuuuuuuuuuuuuuuuuuuuuu,1,tidak kasar,
i love you siska cantik,1,tidak kasar,
i love you soapkings aka ericko lim aka ericko timotius lim,1,tidak kasar,
i love you you have me,1,tidak kasar,
i love your toxic semangat bang,1,tidak kasar,
i m not one of those fuckin benci but dude you surely have to change the way you behave you must understand how kids nowadays receive things from a public figure like you if you re smart enough you know what the hell i mean can t wait to see you become better and smarter,1,tidak kasar,
i m gemar,1,tidak kasar,
i m gemar sejati,1,tidak kasar,
i m support you,1,tidak kasar,
i miss pink guy,1,tidak kasar,
i miss that intro,1,tidak kasar,
i need you erickkontoru,1,tidak kasar,
i see mas mas gore i click like,1,tidak kasar,
i see son of zeus at,1,tidak kasar,
i still support you,1,tidak kasar,
i support you,1,tidak kasar,
iam gemar,1,tidak kasar,
ian achmaddi iya betil bijaksanal,1,tidak kasar,
idol,1,tidak kasar,
idola ketawa pass nonton video bang kocak abesss karya y bang tau lakuin ngehibur,1,tidak kasar,
idola dahhhhh nonton biar dapet hibur yoi bang udel mendem lanjutin kontol ehh bego anjing kentot wehh seru uga benci bang udel mendem kasih saran kekamusemua benci orang mikirkamujadi benci faidahnya ngotak dikit ngapa komenin gakjelas doang gitu udah tau bang udel mendem emang ngasih tau bang udel mendem nama hiburankamukalo liat videoyang nonton tv untukkamubang udel mendem chanel yanv bahagia ngatainkamudulu biarkamutambah semangat fuckkk kentot kuda anak udeh gitu dah untukkamuproject yangkamubikin lancar biar biariin,-1,kasar,kontol bego anjing
idola,1,tidak kasar,
idola cuih haha,1,tidak kasar,
idola ericko lim konten yg lucu neng ngmong kotor lucu anjing kwkw stay positif erick,1,kasar,anjing
idola boyy,1,tidak kasar,
idung jambu,1,tidak kasar,
iericko lim soapking suara toddddddddddd,1,tidak kasar,
ifar dcmntry haduh toxik kaya mabuk,1,tidak kasar,
ih qorygore ting he,1,tidak kasar,
ik juta subscribe like,1,tidak kasar,
ikan anel ikan tongkol,1,tidak kasar,
ikan benci bang just keep doing what you think is good and entertain us moga cepet juta subscriber bang,1,tidak kasar,
iklan skip anjiiiinnggg,1,tidak kasar,
iklan skipp bngst nambahin yt rewind,1,tidak kasar,
iklan cuman banget anjing skip kontil,-1,kasar,anjing
iklan anjer,1,tidak kasar,
iklan njing wkwk,1,tidak kasar,
iklan bayak betool,1,tidak kasar,
iklan skip knntttol,1,tidak kasar,
iklan ampe skipp,1,tidak kasar,
iklan skip ganti duit ytrd,1,tidak kasar,
iklan skip mudah anjiinnnkkkkkkk,1,tidak kasar,
iklan skip rick,1,tidak kasar,
iklan skip anjing,1,kasar,anjing
iklan skip,1,tidak kasar,
iklan skip in video tod,1,tidak kasar,
iklan skip bang,1,tidak kasar,
iklan iklan iklan,1,tidak kasar,
iklan kagak skip cok,1,tidak kasar,
iklan maksa sekip,1,tidak kasar,
iklankamukebuanyaakkaaan,1,tidak kasar,
iklan menit skip,1,tidak kasar,
iklan menit skip,1,tidak kasar,
iklan menit skip anjing,1,kasar,anjing
iklan menit skip,1,tidak kasar,
iklan mulu cok skip biji iklan,1,tidak kasar,
iklan ngak skip iklan menit detik ngak skip skip,1,tidak kasar,
iklan ny g skip woi,1,tidak kasar,
iklan doang woy,1,tidak kasar,
iklan ngeganggu banget,1,tidak kasar,
iklan erick,1,tidak kasar,
iklan udah ku skip fck,1,tidak kasar,
iklan x skip bang karya bang,1,tidak kasar,
iklan x skip bang karya bang,1,tidak kasar,
iklan atta halilintar,1,tidak kasar,
iklan njing skip,-1,tidak kasar,
iklan brave exvius,1,tidak kasar,
iklan,1,tidak kasar,
iklan saia skip pas sisa detik,1,tidak kasar,
iklanya banyakin tanda g duit kntlll,1,tidak kasar,
bully ahhh biar masuk yucub,1,tidak kasar,
hate comment ahhh,1,tidak kasar,
komentar,1,tidak kasar,
komeng ahh biar masuk tipi ehh yt mksdnya,1,tidak kasar,
rizalmawokawokawok,1,tidak kasar,
iluminaty,1,tidak kasar,
ilyas azzukruf nya udah hapus ama erick,1,tidak kasar,
im a soaper s,1,tidak kasar,
im enrei joo fuck bitch,1,tidak kasar,
im gemar,1,tidak kasar,
indo barbar,1,tidak kasar,
indonesia drama,1,tidak kasar,
indrac ch,1,tidak kasar,
infinite dab,1,tidak kasar,
influence creator,1,tidak kasar,
channel didik gaya humor erti mayoritas masyarakat indonesia example,1,tidak kasar,
ericko lim makan jeeeeemmmmbooooottttt jembut makan jembut otak inspirasi,-1,kasar,jembut jembut
eriko lim makan jembbooooooot tretan muslim,1,tidak kasar,
benci repot kerja orang,1,tidak kasar,
anak anak jalan setan mermaidman,-1,kasar,setan
mati bang,1,tidak kasar,
boss buka haters goblok channelnya yg sampah,-1,kasar,goblok sampah
benci subscriber yg tunda,1,tidak kasar,
inget boy neraka yg nunggu,1,tidak kasar,
inget erick ngehina haters orang iri sukses keep strong and adsense erick wkwkwk,1,tidak kasar,
inget rick pacar turutin reactionkamupas comment,1,tidak kasar,
ku teriaakk,1,tidak kasar,
si bngst iklan banget,1,tidak kasar,
nama teladan q,1,tidak kasar,
ngentoddd bnget,1,tidak kasar,
bru hibur ngeliat org ngina ny sndri,1,tidak kasar,
bunda efek daki selangkang suruh channel youtube,1,tidak kasar,
chanel jokes,1,tidak kasar,
chanell hibur anjir jujur hibur video si erick soapking,1,kasar,anjir
channel hibur,1,tidak kasar,
channel toxic,1,tidak kasar,
chenel friend family and didik,1,tidak kasar,
cuman channel hibur anggap serius ama orang ckckckck,1,tidak kasar,
ericko yg,1,tidak kasar,
golong,1,tidak kasar,
hanters kaleng kaleng,1,tidak kasar,
benci buta ato baca angka g tk ajakamugblk baca angka like dislike g becus,-1,kasar,buta
joji indo bangsat,1,kasar,bangsat
chanel didik no,1,tidak kasar,
channel didik,1,tidak kasar,
komentar,1,tidak kasar,
nama disstrack haters atta geledekoutube rewand yg bikintd,1,tidak kasar,
um arap fak citra,1,tidak kasar,
yg tunggu erick tengkyu ud dengar request anjing,-1,kasar,tunggu anjing
opening yg tunggu wkwkw,-1,kasar,tunggu
otong cm,1,tidak kasar,
soapking im king bitch,1,tidak kasar,
ngebuat subcribekamurikk wkwkkw sarkas to dna i love that enar,1,tidak kasar,
yg suka soapking toxic parah ttp suka homo be the king for gemar ntoll benci poin gan jess no limit subscribe channel,-1,kasar,homo
yg demen videoini toxicnya,1,tidak kasar,
youtube bebas mah orang karya baek mah dengar radio,1,tidak kasar,
eriko benci is money baper ank haram,1,tidak kasar,
inman jaju stream oke,1,tidak kasar,
inman strean q,1,tidak kasar,
inspirator,1,tidak kasar,
inti video,1,tidak kasar,
inti,1,tidak kasar,
inti gin collab yok rewind youtube,1,tidak kasar,
intinyakamutetap semangat videobg,1,tidak kasar,
inti jokowi,1,tidak kasar,
intro,1,tidak kasar,
intro asu,1,tidak kasar,
intro bedes logat indo,1,tidak kasar,
intro botak telollo lololet telolet tolet,1,tidak kasar,
intro bru,1,tidak kasar,
intro campur,1,tidak kasar,
intro comeback,1,tidak kasar,
intro dewa is comeback,1,tidak kasar,
intro dora rick,1,tidak kasar,
intro dora geh erick,1,tidak kasar,
intro dora kesan,1,tidak kasar,
intro dora woy anjing,1,kasar,anjing
intro ericko lim no limit pros is backkkk,1,tidak kasar,
intro erico lim no limit pros kepake kirain buang,1,tidak kasar,
intro family friendly wkwk,1,tidak kasar,
intro for erickolim,1,tidak kasar,
intro gratis bngst hahahha,1,tidak kasar,
intro gud ea,1,tidak kasar,
intro ajaaa konsisten terooos,1,tidak kasar,
intro intro youtuber senglek njirah gay hjomo ghiasdogojofhen e subsvribede a and assunsubscribe ahhahahahhahahasdjasixqw asshoel fkasking you be tch semogakamusadar sih mememks ngilu ah asdijqwixqwozqoa ogw gaje ashjhfxkwqiuxisaiwis help me pslaesae me gay omgomgomgomoasda,-1,kasar,gay gay
intro is back boy,1,tidak kasar,
intro is back bro,1,tidak kasar,
intro wkwkwk,1,tidak kasar,
intro jadul kembaliii,1,tidak kasar,
intro japanese v,1,tidak kasar,
intro jess no limit versi erickolim is back,1,tidak kasar,
intro jess no lomot edisi anti skip skip iklan,1,tidak kasar,
intro jess wkwk,1,tidak kasar,
intro,1,tidak kasar,
intro come back,1,tidak kasar,
intro dipake vg,1,tidak kasar,
intro legeds is motherfucking back,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend back,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend bang,1,tidak kasar,
intro legend boy,1,tidak kasar,
intro legend comeback,1,tidak kasar,
intro legend dah asyaaaap,1,tidak kasar,
intro legend is back,1,tidak kasar,
intro legend is back bitches,1,tidak kasar,
intro legend is backk,1,tidak kasar,
intro legend is backkk,1,tidak kasar,
intro legend is comeback uoooo,1,tidak kasar,
intro legend kamvret,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend wkwkwk wik wik wik wik wik wik oh oh oh oh oh,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend kembaliiii,1,tidak kasar,
intro legend mtfker has back again,1,tidak kasar,
intro legend muantapuuuh,1,tidak kasar,
intro legend ny bang,1,tidak kasar,
intro legend ontent ngomongnya jaga dongkamuudah gedekamusekolah slb,1,tidak kasar,
intro legend pasang,1,tidak kasar,
intro legend main hebat kontol,-1,kasar,kontol
intro legend,1,tidak kasar,
intro legend yg tunggu jaman purba dateng,-1,kasar,tunggu
intro legends,1,tidak kasar,
intro legends back,1,tidak kasar,
intro legends is back anjing anjing,1,kasar,anjing anjing
intro legends is back,1,tidak kasar,
intro legends,1,tidak kasar,
intro legendsss,1,tidak kasar,
intro lejen,1,tidak kasar,
intro lejen is bek,1,tidak kasar,
intro lejen v,1,tidak kasar,
intro mantul bowo no limit pros,1,tidak kasar,
intro maq pro ea,1,tidak kasar,
intro back bangsad,1,tidak kasar,
intro bkn yg meteor,1,tidak kasar,
intro semangat,1,tidak kasar,
intro foto launtius rando,1,tidak kasar,
intro gg,1,tidak kasar,
intro ggwp,1,tidak kasar,
intro jess no limit,1,tidak kasar,
intro,1,tidak kasar,
intro yg dora,1,tidak kasar,
intro old ajg,1,tidak kasar,
intro faedah lupa give me diamond ml wkwkkwk,1,tidak kasar,
intro kere seduniaaaa,1,tidak kasar,
intro lengend jess no edit,1,tidak kasar,
intro pro comeback,1,tidak kasar,
intro real legends,1,tidak kasar,
intro si botak,1,tidak kasar,
intro ter greget nonton youtube,1,tidak kasar,
intro ter lejen haha,1,tidak kasar,
intro ter top,1,tidak kasar,
intro terbedes,1,tidak kasar,
intro terlegend is back,1,tidak kasar,
intro terlegend is backr nata moga manfaat,1,tidak kasar,
intro termantoel,1,tidak kasar,
intro terunfaedah,1,tidak kasar,
intro tumpo tumpo,1,tidak kasar,
intro wkwkwk,1,tidak kasar,
intro gg,1,tidak kasar,
intro mewah awokawokawok,1,tidak kasar,
intro rindukann,1,tidak kasar,
intro yg nanto,1,tidak kasar,
intro yg rindu budak gemar,1,tidak kasar,
intro yg tunggu,-1,kasar,tunggu
intro yg tunggu tunggu,-1,kasar,tunggu tunggu
intro yg tunggu bangsat,-1,kasar,tunggu bangsat
intro yg dirinduin wkwk,1,tidak kasar,
intro yg perut dng tampang,1,tidak kasar,
intro yg sngt epic,1,tidak kasar,
intro yg,1,tidak kasar,
intro akmj,1,tidak kasar,
intro anjingngakak asw,1,tidak kasar,
intro semangat,1,tidak kasar,
intronyakerendong,1,tidak kasar,
intro is back erickonolimitsgamingpros,1,tidak kasar,
intro jess tercury ajg,1,tidak kasar,
intro woy,1,tidak kasar,
intro nahan ngehe,1,tidak kasar,
intro sedep dahhh,1,tidak kasar,
intro tumben bang,-1,kasar,tumben
intronyaa legenddd,1,tidak kasar,
intronyaa tertawa hahah,1,tidak kasar,
intronyaimana fans situ juha selubung benci orang sirik jhahaha rangin toxic kontol,-1,kasar,kontol
introo yg tunggu get jir,-1,kasar,tunggu
introoo,1,tidak kasar,
introoo gaming,1,tidak kasar,
io tau,1,tidak kasar,
iq,1,tidak kasar,
iqbal gd lucu le,1,tidak kasar,
iqbal gd ribut cok,1,tidak kasar,
iri smua orang yg haterskamubang,1,tidak kasar,
iri tanda,1,tidak kasar,
is back,1,tidak kasar,
is back toxic ericko lim wkwkwk,1,tidak kasar,
is the best bang,1,tidak kasar,
is the best bang hadapin benci,1,tidak kasar,
is the best ni konten sumpahh mutiara wkwk,1,tidak kasar,
isap tetek erick hahaha,1,tidak kasar,
isis islam teroris,1,tidak kasar,
islam know indonesia cumsn islam ktp doang,1,tidak kasar,
istri ocong cina toxic,1,tidak kasar,
it s flithy rick mother fucker,1,tidak kasar,
itanya pros,1,tidak kasar,
benci kn otak santai lu,1,tidak kasar,
,1,tidak kasar,
foto,1,tidak kasar,
intro dengar channel urcrazy,-1,tidak kasar,
intro detik menit ganti teross,1,tidak kasar,
knpa qorygore bngst,1,tidak kasar,
komentar rapstronout,1,tidak kasar,
promosi intro utama,1,tidak kasar,
sengaja plesetin coba ngertiin,1,tidak kasar,
kasih tau,1,tidak kasar,
andi fajar alam bom ngehate ajar nulis cok wkakaka asle benci heaters beda cok wkakakakak,1,tidak kasar,
intro bang jess dijadiin canda,1,tidak kasar,
lucu benci erick benci cinta,-1,tidak kasar,
iya,1,tidak kasar,
iya,1,tidak kasar,
iya tampan banget eue eue,1,tidak kasar,
iya yg otak,1,tidak kasar,
iyakamuganteng banget,1,tidak kasar,
iya lebay orang vidiokamuyang jijik tonton ginian nonton by the way tunggu skandal ody,1,kasar,tunggu
iya sayangg luu tampan batt uwee p,1,tidak kasar,
iye bang tampan jomblo,1,tidak kasar,
iye uya kuya,1,tidak kasar,
iyee subscribe bang,1,tidak kasar,
j,1,tidak kasar,
duit komentar hahah,1,tidak kasar,
fans haters tunda,1,tidak kasar,
gin internet liat paslu ambil positif buang negative,1,tidak kasar,
gin pro benci,1,tidak kasar,
gin subscribe channel youtube cuk faedah,1,tidak kasar,
gin tau m m k,1,tidak kasar,
gin channel tonton,1,tidak kasar,
gin y ni film kagak erti sumpah,1,tidak kasar,
gin,1,tidak kasar,
gin tau vagina,-1,tidak kasar,
gin bang erick emang kontol konten emang sampah shitcontent ya suka bangsaaat suka bangsaaat so klean ladies folow instagram padheli oke sekian thx,-1,kasar,kontol sampah
gin bangkamukan nyuruh subscribe channelkamuteruskamuitung sampe gitu la telat itungan tod,1,tidak kasar,
gin gan suka laku si anak kontol aka erick kemarin gbk andddd satpam nanya halo selamat siang acara yutuprewind yak ohh iya bro dah selesai bro acara lelah gbk acara ytrwn selesai janji rick ketemu luh nampar luh kenceng tenanga salam kenal bro erick ramadan see you motherfucker,-1,kasar,kontol
benci ah biar masuk youcube by the way dick rick,1,tidak kasar,
benci sadis tatap tatap sinis yeah,1,tidak kasar,
hatersnya erick makasih akkwkwkwowk,1,tidak kasar,
hibur,1,tidak kasar,
inti benci duit,1,tidak kasar,
tobat benci tambat,1,tidak kasar,
masuk benci fans doain ericko dapet duit,1,tidak kasar,
keinget ama video manfaat yakult by erickolim,1,tidak kasar,
netijen smart erik gitu coba yg ngikutin erik gitu hibur menkamusmart gantung yg nonton massa org liat eric melet melet yg nonton melet melet smart netijen liat mo ericolim melet mo ngapain ketawa tau erik kontent untung hibur didik didik sekolah sono pas pulang sekolah less gausah pegang hp gausah liat yt nama didik,1,tidak kasar,
uanggggggggg hahahahahahha,1,tidak kasar,
youtuber gaharus ngehina pepek,1,tidak kasar,
muritmu guruuuh,1,tidak kasar,
pupuk brokamumakin subur rikkkk,1,tidak kasar,
jahat bang yg milih tinggal rumah kang sule yutub contoh kembar iky uda kenal jd nyanyi elu sok sok hidup mandiri ninggalin keluarga yutub fak yu,1,tidak kasar,
jahat komennya,1,tidak kasar,
jalan belanda beli kerupuk,1,tidak kasar,
jalanin bang abai benci benci bang arti iri elu bang,1,tidak kasar,
jam intro,1,tidak kasar,
jamin tu benci nonton video ni bayak views abang icko masuk trending,1,tidak kasar,
jan dengerin haters bang erick cuman cari sensasi,1,tidak kasar,
jan serah erick juang hibur yee,1,tidak kasar,
jan ngurusin hidup orang bro,1,tidak kasar,
jan peduliin benci erick emng benci isi otak bocah smua emng kontenkamuitu didik klakuankamuyng kayak gitu smua hibur,-1,tidak kasar,
jancok,1,tidak kasar,
baca,1,tidak kasar,
bahas sara,1,tidak kasar,
bawa bawa qorygore lim plis,1,tidak kasar,
biarin orang ngejar mimpilu mimpi usaha,1,tidak kasar,
dengerin bang komentar benci karya toxic ttp youtuber favorite janji juta subscribe botak lowbudget kamera nokia orang kaya gitu anggap salam,1,tidak kasar,
dengerin benci bang karya,1,tidak kasar,
dengerin heaters pikirin kerja keras usaha mimpi mata,1,tidak kasar,
masukin hati benci tod,1,tidak kasar,
hapus channelny indo chanel yg didik coeg,1,tidak kasar,
hirau benci bang,1,tidak kasar,
dipeduliin bg,1,tidak kasar,
hapus channelny indo chanel yg didik coeg,1,tidak kasar,
hina erick fans katakatai erick,-1,kasar,hina
hirau benci ajg,1,tidak kasar,
khawatir bang iklan channel gwe skip support bang karya ba,1,tidak kasar,
