,text,sentiment,labeling
960,cenel bikin gua hibur ad tipid mudah bakar pantad nya upgrade dulu makanya kalau mau nonton,positif,tidak kasar
961,cenel comedi bro,positif,tidak kasar
962,cenel ngak mutu,positif,tidak kasar
963,cenel ter aneh,negatif,kasar
964,cerah kali gobl g,positif,tidak kasar
965,ceramah kok sosmed ara,positif,tidak kasar
966,cerita pgn ngikutin pewdiepie,positif,tidak kasar
967,cetak haters banyak nya bang biar auto kaya kan just hibur yg liat juga pasti punya otak ya dipake lah,positif,tidak kasar
968,cewe lo mana bang selingkuh,positif,tidak kasar
969,cfuz channel gw bukaaaan haters okener,positif,tidak kasar
970,cfuz channel lu nanyaaa apaaan,positif,tidak kasar
971,chainel yg paling friendly banget dah pokok bagi gw ke orang nya,positif,tidak kasar
972,challange cukur rambut bang biar tambah ganteng wkwkwk,positif,tidak kasar
973,chanel apa anjink g faedah hhh nya unfaedah hh,positif,tidak kasar
974,chanel didik banget aku cari lama ini ty,positif,tidak kasar
975,chanel didik d,positif,tidak kasar
976,chanel erick jelek nama negara agama yg bain erik kaya punya agama kaya pingin indonesia jangan buat yg faedah sebut sadar coy harum negara yang cinta jangan buat yg faedah,positif,tidak kasar
977,chanel familie friendly dunia woowwwwwww emenjink,positif,tidak kasar
978,chanel gin bilang faedah gua hibur kok ama konten yg faedah daripada yg konte cuma mobil lejen kreatif kreatif yg laen susah susah cari konten buat konten kudu kreatif eh ada yg konten cuma mobil lejen shiittt,positif,tidak kasar
979,chanel gk didik dan gak ada faedah nya,positif,tidak kasar
980,chanel hilang stress yg perna gua nontonin bahkan amper smua bang vidio kamu gua tontonk nonton biar lucu aja hahahaha,positif,tidak kasar
981,chanel lu hibur panutan,positif,tidak kasar
982,chanel lucknutt,positif,tidak kasar
983,chanel lucu lucu bagaimana gituu,positif,tidak kasar
984,chanel motivasi keluarga,positif,tidak kasar
985,chanel paling bikin gua ngakak dan anti baper club cocok di putar sama keluarga wkwk,positif,tidak kasar
986,chanel paling family friendly duniiiiaaaaaaaaaaa d,positif,tidak kasar
987,chanel didik sangat faedah,positif,tidak kasar
988,chanel sangat mendydyc,positif,tidak kasar
989,chanel selalu hibur karena kata kata kasar buat ketawa wkwkw,positif,tidak kasar
990,chanel taeeek,positif,tidak kasar
991,chanel terkhintil dunia wkwkt,positif,tidak kasar
992,chanell hilang stresss,positif,tidak kasar
993,chanell yt asuuu aku fans kamu bang lanjutkannnnkarakter identitas maju terus bang erico lim buat hibur saat kerja lupa beban kerja sukses,positif,tidak kasar
994,channal faedah kenapa banyak yg subscribe hibur,positif,tidak kasar
995,channel agama paling f f,positif,tidak kasar
996,channel agama paling family friendly duniaaaa,positif,tidak kasar
997,channel aku ajar santai hadap haters panutanq leh uga,positif,tidak kasar
998,channel aman,positif,tidak kasar
999,channel apa kaya gin luh semua pernah didik sama orang tua luh channel kaya gin emang harus direpport buat orang jadi ngomong kasar luh bilang luh punya akal akal luh dipake,positif,tidak kasar
1000,channel cuman nonton ama komen doang hhhhhhh,positif,tidak kasar
1001,channel didik broo aku nge fans bener ama erickolim aku kalau bully malah neng hahaha i like you ericko lim,positif,tidak kasar
1002,channel didik gaess faedah gaess,positif,tidak kasar
1003,channel didik kok bilang ada faedah wkwk d best konten erickolim d,positif,tidak kasar
1004,channel erikentot memang gk faedah tapi seru aja video,negatif,kasar
1005,channel faedah,positif,tidak kasar
1006,channel family friendly,positif,tidak kasar
1007,channel gaguna,positif,tidak kasar
1008,channel gak faedah,positif,tidak kasar
1009,channel goblogggg ada tatakrama,positif,tidak kasar
1010,channel gua dong lebih dari dia,positif,tidak kasar
1011,channel hibur lucu bikin serang jantung buat positif,positif,tidak kasar
1012,channel hibur ciee baper klo bikin gabisa klo copas bisa,positif,tidak kasar
1013,channel hilang stres,positif,tidak kasar
1014,channel ini doang dah yg bikin gw hibur,positif,tidak kasar
1015,channel ini lebih dari konten isi di tayang televisi,positif,tidak kasar
1016,channel kok reupload,positif,tidak kasar
1017,channel kont l,positif,tidak kasar
1018,channel legend isi video hibur aku blg video faedah aku blg video hibur salut sama kamu ericko lim,positif,tidak kasar
1019,channel lu emg kpnyol dan gak didik tapi gw hibur njink v,negatif,kasar
1020,channel manfaat huhh,positif,tidak kasar
1021,channel hibur,positif,tidak kasar
1022,channel njing k,positif,tidak kasar
1023,channel paling didik,positif,tidak kasar
1024,channel paling didik ini fraindly family,positif,tidak kasar
1025,channel paling pemely prenli,positif,tidak kasar
1026,channel didik v,positif,tidak kasar
1027,channel punya faedah yg subscribe banyak org yg hidup jelas,positif,tidak kasar
1028,channel sampah,negatif,kasar
1029,channel satu bangsa,positif,tidak kasar
1030,channel sayang obat stres moga makin sukses bang,positif,tidak kasar
1031,channel ter toxic gk ad yg nandingin emng ericko to lim,positif,tidak kasar
1032,channel terfamily friendly dunia dah tertawa njay,positif,tidak kasar
1033,channel yang paling hibur,positif,tidak kasar
1034,chenel apa channel goblok banget kamu,negatif,kasar
1035,chenel hibur hilang stres mobangentot lucu,positif,tidak kasar
1036,chenel paling guna njing dasar gug,positif,tidak kasar
1037,chnnel paling jelas dunia,positif,tidak kasar
1038,ciduk satu satu seru bang,positif,tidak kasar
1039,cie kak kimihime ngembelain,positif,tidak kasar
1040,cie nge stack di jt v,positif,tidak kasar
1041,cie sama oddy,positif,tidak kasar
1042,cie yg baper wkwkwk laporin gih laporin,positif,tidak kasar
1043,cieeee gblg gakk fanfest,positif,tidak kasar
1044,cieeee yg niruin konten erpan,positif,tidak kasar
1045,cina nerd pake kacamata,positif,tidak kasar
1046,cinta benci mu dapet adsen tiap hati,positif,tidak kasar
1047,cipta apakah heterszzz,positif,tidak kasar
1048,cium,positif,tidak kasar
1049,cium bau bau banyak benci dichenell kwkwkwk konten kamu bagus,positif,tidak kasar
1050,cm,positif,tidak kasar
1051,cm,positif,tidak kasar
1052,coba aja w ketemu haters haters nya soapers w sleding dah w baca aja kesel apalagi bang ericko,positif,tidak kasar
1053,coba kalian pilih ericko lim reza arap,positif,tidak kasar
1054,coba cepat x wagelaseh brooo,positif,tidak kasar
1055,coba liat mata nya,positif,tidak kasar
1056,coba nonton mli dulu deh yg atta,positif,tidak kasar
1057,cod kenzhibernessa,positif,tidak kasar
1058,cok muslim mana woy cok muslim,positif,tidak kasar
1059,cokil kuy,positif,tidak kasar
1060,coli ae mending kamu haha,positif,tidak kasar
1061,coli aja bang,positif,tidak kasar
1062,coli bareng bang,positif,tidak kasar
1063,coli lu ric,positif,tidak kasar
1064,coli yuk,positif,tidak kasar
1065,collab ama miawaug dong bang,positif,tidak kasar
1066,collab sama qory,positif,tidak kasar
1067,collab sama qorygore coba haha,positif,tidak kasar
1068,collab sama qorygore dong bang,positif,tidak kasar
1069,collab sama qorygore rick,positif,tidak kasar
1070,collab sama reza arap,positif,tidak kasar
1071,collabs sama babang gore sabi nih wkwkwk,positif,tidak kasar
1072,collabs sama qorygore bangg wokwok,positif,tidak kasar
1073,coly hari brapa kali,positif,tidak kasar
1074,come on dora,positif,tidak kasar
1075,coment ke tod,positif,tidak kasar
1076,comment hate buat orang yang iri sama lo,positif,tidak kasar
1077,comment hatersnya pedes semua bgst wkwkwk serasa makan geprek lv,positif,tidak kasar
1078,comment pertama aku pernah liat njir kan kamu rik,positif,tidak kasar
1079,commentnya gk hate tpi toxic toxic adalah sahabat indonesia v,positif,tidak kasar
1080,content ini ajar kita bahwa haters ada guna nya,positif,tidak kasar
1081,contentlu slalu ngehibur apa topik maju terus bang jan dilemesin,positif,tidak kasar
1082,contoh komenan yg cermin org agama,positif,tidak kasar
1083,cringe cringe v,positif,tidak kasar
1084,crown gaming opo cok,positif,tidak kasar
1085,cukup bikin batas umur yg boleh nntn aja rik,positif,tidak kasar
1086,cukup ngakak ngakak kali cukup ngakak bang gw tau hatters tu hasil duit tp,positif,tidak kasar
1087,cukup paten,positif,tidak kasar
1088,cuma chanel kamu yg buat tertawa dosa jariyah buat,negatif,kasar
1089,cuma channel aku jadi tambah goblok wkkwkw,negatif,kasar
1090,cuma channel ini klo nonton perlu make headset wkwkwk,positif,tidak kasar
1091,cuma di indonesia org ken bnyk haters,positif,tidak kasar
1092,cuma ilmu dunia yg aku ajar erick,positif,tidak kasar
1093,cuman channel hibur anggap serius ama orang ckckckck,positif,tidak kasar
1094,cuman di sini haters jdi duit v,positif,tidak kasar
1095,cuman orang yang nonton vidio lo gak sampe abis atau nonton vidio lo cuman beberapa doang yg jadi hatters ericolim jadi blm tau batul karakter eric kayak gimana asli soal youtube rewind turut aku itu adalah suatu karya besar ericolim dkk sa bahaya masa hal se simple ini anda tidak tau atau apakah benar di belakang layar anda bajing juga,positif,tidak kasar
1096,cuman soapers doang yang nonton iklan erickontl,positif,tidak kasar
1097,cuyyu saran aku iklan jangan tampilin,positif,tidak kasar
1098,cyper cie ngegad,positif,tidak kasar
1099,cyper gimana nemuinny,positif,tidak kasar
1100,d,positif,tidak kasar
1101,d alam kubur msh pinter aja kakek,positif,tidak kasar
1102,d g a f jadi diri elo sendiri konten elu sangat ngehibur be a smart viewers aj jangan cuma comment negative channel orang dasar hatter punya malu,positif,tidak kasar
1103,d video am real life itu beda boy,positif,tidak kasar
1104,dafuq,positif,tidak kasar
1105,dagel,positif,tidak kasar
1106,dah gue click x tombol subcribe nya bro,positif,tidak kasar
1107,dah gw subsribe,positif,tidak kasar
1108,damn my nigga ngakak aing wkwkwk,positif,tidak kasar
1109,dan jangan lupa coli pake counter pain,positif,tidak kasar
1110,dan jangan lupa subscribe channel saya kamu perlu ingat kalau aku ini dulunya selingkuh kamu kan,positif,tidak kasar
1111,dan padahal gua subscribers erick lama dari dia main pb yang ketemu cit gabisa ke kick,positif,tidak kasar
1112,dan sata hibur,positif,tidak kasar
1113,danang gaming liat aja ee dia yang ngetik dikomenannya makanya jangan tinggal nonton ga ada kuota ya,positif,tidak kasar
1114,daniel halim,positif,tidak kasar
1115,daniel halim goblokk,positif,tidak kasar
1116,dapet apa nih ajg nonton pertama,positif,tidak kasar
1117,dapet iklan detik pas aku pencet skip aku emg haters sejati kamu bang,positif,tidak kasar
1118,dapet konten haters gud,positif,tidak kasar
1119,dapet pacar victoria xd malah gk se toxic dulu bang,positif,tidak kasar
1120,dari dulu baru pertama kali ini gw baca komen komennya di chanel ini,positif,tidak kasar
1121,dari nama nya aja udh liat kok lim,positif,tidak kasar
1122,dari pada bacod mending mampir ke channel saya hehe,positif,tidak kasar
1123,dari pada lu ngadepin hatters,positif,tidak kasar
1124,daripada bacain komen haters,positif,tidak kasar
1125,dark content,positif,tidak kasar
1126,dark noire emg agama ericko lim apa kalau tau,positif,tidak kasar
1127,dasar anak haram,positif,tidak kasar
1128,dasar anak lacur mamak lo lacur jalan mana,positif,tidak kasar
1129,dasar erickntl liat ericko melet gitu wkwk,positif,tidak kasar
1130,dasar haters goblok,negatif,kasar
1131,dasar hatter v,positif,tidak kasar
1132,dasar heters gblk braninya cuma dari medsos doang,positif,tidak kasar
1133,dasar kamu anak manusia,positif,tidak kasar
1134,dasar makan jembot,positif,tidak kasar
1135,dasar netijen bar bar bisa hina karya kaga,negatif,kasar
1136,dasar utus teroria,positif,tidak kasar
1137,dasar utus teroris,positif,tidak kasar
1138,daylen warpath,positif,tidak kasar
1139,daylen x warpath,positif,tidak kasar
1140,daypath tuh wkwkwkk,positif,tidak kasar
1141,deadpool nya indonesia,positif,tidak kasar
1142,dear ericko,positif,tidak kasar
1143,dear ericko lim,positif,tidak kasar
1144,dear haters inget boyy ericko lim kamu bakal dewasa,positif,tidak kasar
1145,dear hatters kelean bilang ericko gpunya otak apa,positif,tidak kasar
1146,dear mr ro,positif,tidak kasar
1147,dede gaming wkwkw kek nembak cwe ga lewat sosmed ae wkwkw a lu bang,positif,tidak kasar
1148,deidora the exploder haha subs baru harap maklum gan,positif,tidak kasar
1149,deketin cwe ansos gmn coy,positif,tidak kasar
1150,dengar abang ini ngomong jadi ke ingat omong guru gue kalo lo mau jadi usaha ngapain lo sekolah ngntd,positif,tidak kasar
1151,depok mana mas,positif,tidak kasar
1152,detik gua ngakak v,positif,tidak kasar
1153,dhdh hanjur,positif,tidak kasar
1154,di bacain comentnya ada liat vidio hahaa,positif,tidak kasar
1155,di cepetin x kayak dj,positif,tidak kasar
1156,di dalam hati mereka pasti triak seperti ini,positif,tidak kasar
1157,di deket goggle play button itu muka siapa sih,positif,tidak kasar
1158,di hujat di bully malah di jdiin motifasi lah ini baru di sindir ae delet chenel bgst,positif,tidak kasar
1159,di hujat tambah kaya,positif,tidak kasar
1160,di jalur yang benar,positif,tidak kasar
1161,di kocak udah tau yg subs eric banyak bocahhhh,positif,tidak kasar
1162,di menit daylen bukan tuh hahaing bro,positif,tidak kasar
1163,di menit dia kata seperti itu karena ini kan channel didik harus didik dan mutu bukan balik simpang antara didik dan sesat,positif,tidak kasar
1164,di menit wkwkw ama alucar yang viscont,positif,tidak kasar
1165,di sini ad haters yg nonton yah v,positif,tidak kasar
1166,di sosmed aja bang yg berani ngehina kamu kalau ketemu minta foto,positif,tidak kasar
1167,di tampar jamil hanafi aja di gpp,positif,tidak kasar
1168,di thumbnail heaters cenel,positif,tidak kasar
1169,di tunggu botakkkkk nya jess aja udh botak masa lu blom rik,negatif,kasar
1170,di video video lu kaga pernah ada yang nama give away,positif,tidak kasar
1171,di vidio haters nya semua goblog anjg,positif,tidak kasar
1172,dia canda dia kenal jessnolimit,positif,tidak kasar
1173,dia cuma plagiat pink guy,positif,tidak kasar
1174,dia emang janji,positif,tidak kasar
1175,dia gk tahu apa apa tentang lu bang jfi dia itu sok tahu,positif,tidak kasar
1176,dia kakak bowo tok tok,positif,tidak kasar
1177,dia tu ganteng tapi goblok,negatif,kasar
1178,dia udah buat lu pada aja ga nyadar lagu hypocrite buat siapa hahaha,positif,tidak kasar
1179,dibacotin haters di kata katain jadiin adsense ajaa v,positif,tidak kasar
1180,dibacotin neng,positif,tidak kasar
1181,bawa ngupi l aja bang,positif,tidak kasar
1182,belakang erickolim di lemari belah kiri itu golden play button bukan,positif,tidak kasar
1183,bunuh kakashi,positif,tidak kasar
1184,die haters little bitch,positif,tidak kasar
1185,diemin aja anak hasil condom bocor yang nge diss lo rick semangat terus buat konten yang faedah,positif,tidak kasar
1186,diemin aja bang mereka juga kalo ketemu minta foto njing,positif,tidak kasar
1187,dih bocah,positif,tidak kasar
1188,dih eyesnya pas story kea beraer gitu mua konten bang erico lim,positif,tidak kasar
1189,dih fans cihuahua awokaowakoak,positif,tidak kasar
1190,dikacangin hhmm,positif,tidak kasar
1191,dikit dikit suruh hapus,positif,tidak kasar
1192,kubur ada konter y mbah v,positif,tidak kasar
1193,dil pross v,positif,tidak kasar
1194,liat dari muka dan komen lu kayak lu ini jaga warnet ya yg online terus,positif,tidak kasar
1195,mas oktovan,positif,tidak kasar
1196,dimaz gaming jangan gp lah mending full hd,positif,tidak kasar
1197,menit itu orang gk ngerti soapers goblok,negatif,kasar
1198,dingin gtuu,positif,tidak kasar
1199,disconnect free baca komentar belum lu komen botol gblk mereka ketawa karna teliti gk kek lu ajg,positif,tidak kasar
1200,disconnect free baca sampai habis botol,positif,tidak kasar
1201,disconnect free mana ada gblk,positif,tidak kasar
1202,sini masih afa soapers seti mana suara soapers,positif,tidak kasar
1203,dislike,positif,tidak kasar
1204,dislike aja coi doa gabutuh ngelike koment kya gin,positif,tidak kasar
1205,dislike ke,positif,tidak kasar
1206,dislike ke yg rewaind selesai kasih gue ipad bang buat main pubgm,positif,tidak kasar
1207,dislike pertaama bos like dah gk jaman,positif,tidak kasar
1208,diss hater,positif,tidak kasar
1209,diss haters rick,positif,tidak kasar
1210,distrack tidak selesai masalah,positif,tidak kasar
1211,tonton boleh,positif,tidak kasar
1212,tonton like dan komentar,positif,tidak kasar
1213,tunggu desember,negatif,kasar
1214,tunggu konten ericko pinkguy lim lu rick,negatif,kasar
1215,tunggu ytr nyaaaaaa,negatif,kasar
1216,djancok,positif,tidak kasar
1217,dm w dong nih ig w dar haidarrrr,positif,tidak kasar
1218,do human cake plizzzz,positif,tidak kasar
1219,do more of what makes you happyone bring you down fuck all that negative shit about you,positif,tidak kasar
1220,domak tingting josssssssss,positif,tidak kasar
1221,doms dee ghost buster,positif,tidak kasar
1222,don t give up rik,positif,tidak kasar
1223,don t judge a people by his video,positif,tidak kasar
1224,dong,positif,tidak kasar
1225,dont judge cover by its book,positif,tidak kasar
1226,dosa lo mana la yah ngomong lo jorok trus emak bapak lo gk ngajarin yg bener napa,negatif,kasar
1227,double tap subscribe,positif,tidak kasar
1228,draw life lah masak jt subscribe kagak draw life,positif,tidak kasar
1229,draw my life bang,positif,tidak kasar
1230,draw my life donk bang,positif,tidak kasar
1231,drawmylife,positif,tidak kasar
1232,du unsub gak papa kita masih subscribe kok,positif,tidak kasar
1233,dua,positif,tidak kasar
1234,duh haters nonton mayan kan nambah view dapet adsense,positif,tidak kasar
1235,dukung el mana,positif,tidak kasar
1236,dukung eric cuy,positif,tidak kasar
1237,dukung erick kolim,positif,tidak kasar
1238,dukung erickontlim rsis tvfilthyfrank,positif,tidak kasar
1239,dukung mu n,positif,tidak kasar
1240,dulu ada durasi video menit,positif,tidak kasar
1241,dulu beda klo skrng udh gjls cuman toxic gjls,positif,tidak kasar
1242,dulu gua haters elo semua ubah negara k nt l serang,positif,tidak kasar
1243,dulu terahir gue liat subs nya cmn rb sekarang udh juta v good job bang bangke,positif,tidak kasar
1244,durex v,positif,tidak kasar
1245,dwp,positif,tidak kasar
1246,dwp avaan bang,positif,tidak kasar
1247,dylan naks saint indo kok di undang youtube rewind,positif,tidak kasar
1248,e,positif,tidak kasar
1249,e,positif,tidak kasar
1250,e tinggal,positif,tidak kasar
1251,e kintol,positif,tidak kasar
1252,ea,positif,tidak kasar
1253,ea first,positif,tidak kasar
1254,ea ganteng bang,positif,tidak kasar
1255,eaaa haters gg,positif,tidak kasar
1256,eaaaahh,positif,tidak kasar
1257,eaak,positif,tidak kasar
1258,ect ericontol,positif,tidak kasar
1259,edit kaya erpan,positif,tidak kasar
1260,edit legend lu rick edit masa jadi pink guy wkwkwk,positif,tidak kasar
1261,edit mantull njingg gg,positif,tidak kasar
1262,edit ngikutin erpan wkwl,positif,tidak kasar
1263,editanya pros,positif,tidak kasar
1264,edit mirip erpan,positif,tidak kasar
1265,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrriiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiicccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccckkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo lim ganteng,positif,tidak kasar
1266,eeeh khontol,positif,tidak kasar
1267,eehhh maaf ya gais tadi aku liat memeq,positif,tidak kasar
1268,efek banyak main sabun otak nya penuh peju,positif,tidak kasar
1269,eh ada albert,positif,tidak kasar
1270,eh bang aku ajar toxic kamu aku dimaharin guru,positif,tidak kasar
1271,eh bg buat konten kocak lah biar tertawa nantonya pek sendiri,positif,tidak kasar
1272,eh bocah btw gw juga bocah tapi gw bukan soapers,negatif,kasar
1273,eh ericontole kata bapa gua kaga ngmng jorok ajggg,positif,tidak kasar
1274,eh erikontol video kamu keren cuk ntai aja yg haters pd bocah ngentod smua,positif,tidak kasar
1275,eh kntol gw sub lo dari ribu subs anjeng give away ke gua nyet,positif,tidak kasar
1276,eh kontil suara kamu kalah ama bg music beli mic lah,positif,tidak kasar
1277,eh lu mabuk ya wowkwkwk suara lu ubah,positif,tidak kasar
1278,eh ngegas haters,positif,tidak kasar
1279,eh ngent t bisa ga gaada backsound suara teriak tot gua make headset njing kaget gua bgsd,positif,tidak kasar
1280,eh ngentod pin comment gw,positif,tidak kasar
1281,eh nyet react lagu wikwikwik yg ada adegan ngeuenya dong,positif,tidak kasar
1282,eh rik,positif,tidak kasar
1283,eh rik mending intro nya kiamat channel keluarga,positif,tidak kasar
1284,eh sorry ya guys tadi netizen lihat memekerus buat channel baru lagi nama kontoru,positif,tidak kasar
1285,ehh buat haters jangan bully ericko lim karna malah tambah kaya aja begoo,positif,tidak kasar
1286,ehh lim lumandi giihh kutu kamu ngeselin koontoll,positif,tidak kasar
1287,ehk ericmemek gwa dukung lu truss tod,positif,tidak kasar
1288,ei ericko,positif,tidak kasar
1289,eit cukz gw lupa gak usah lu counter attack komen hate gw,positif,tidak kasar
1290,eke soapking nya mananih intro dulu wkwkwkwk,positif,tidak kasar
1291,el banyak haterss haaaaa,positif,tidak kasar
1292,el banyak haterss haaaaa,positif,tidak kasar
1293,elisa ecklund yah kaka,positif,tidak kasar
1294,elo toxic soapers juga toxic biar komen gw lu baca wkwkwk,positif,tidak kasar
1295,elshen nathanael siapa,positif,tidak kasar
1296,elu kok ngegad si ngomongnya bngsd,positif,tidak kasar
1297,elu lagi jing kaga bosen bikin jam,positif,tidak kasar
1298,elu triak cuma buat ngobatin malu nyampah uang laki kamu lbih rendah lacur yg subscribe bocah anjink semua,positif,tidak kasar
1299,elu yg ngehate gua yg kaya yaaa,positif,tidak kasar
1300,email haters lu ajak ke yt rewind t cool reading haters comments ick dan gw kemaren ke gbk andddd kata pak satpam nya gw nanya halo pak selamat siang kata nya di sini ada acara yutuprewind yak pak ohh iya bro tapi dah abis bro acara nya gw cape ke gbk dan acara ytrwn nya abis jadi gw janji rick kalo ketemu luh gw bakal nampar luh kenceng nya tenanga gw dan salam kenal dari gw bro erick ramadan see you motherfucker,negatif,kasar
1301,emang bener toxic nii erickocontoll v,positif,tidak kasar
1302,emang bisa skip,positif,tidak kasar
1303,emang channel ny bang ericko ga semua medidik,positif,tidak kasar
1304,emang channel toxic ni,positif,tidak kasar
1305,emang ganteng arap si wkwkw,positif,tidak kasar
1306,emang gilak ni orang,positif,tidak kasar
1307,emang haters gblk ada otak,positif,tidak kasar
1308,emang kamu pntez hate rick lebih rendah sampah,negatif,kasar
1309,emang lo bau sampah njir,negatif,kasar
1310,emang patas dihate kok,positif,tidak kasar
1311,emang pertamakali aku nonton yt kirik pas lagu susu kental manis sumpah aku hati channel apa kesini krg toxic masih aja,positif,tidak kasar
1312,emang qory bau ya,positif,tidak kasar
1313,emang si rapstronot kesel gara gara raja hapus channel,positif,tidak kasar
1314,emang tidak jijik apa liat muka macam biji karat wkwkkw,positif,tidak kasar
1315,emangbanglugantengguajugaampepengenketemuamaabang,positif,tidak kasar
1316,emank ada v,positif,tidak kasar
1317,emg ganteng kok,positif,tidak kasar
1318,emg gila ni orang kapan masuk rsj,negatif,kasar
1319,emg gua aj yg bilang erikolim mirif sama anak sule rizki febian,positif,tidak kasar
1320,emg haters g tau diri biarin aja,positif,tidak kasar
1321,emg konten kamu toxic bg sumpah kontenlu ngehibur sekali,positif,tidak kasar
1322,emng harus goblok,negatif,kasar
1323,emng kamu tuhan wkwkjw,positif,tidak kasar
1324,emng lu doang upmood gw rick kyaa,positif,tidak kasar
1325,emng pantes luuu buka project youtube rewind ad pntes nya,positif,tidak kasar
1326,emosi udh klimaks wkwkwkwkwk,positif,tidak kasar
1327,enak dapat haters supaya tambah adsande,positif,tidak kasar
1328,enak ni channel,positif,tidak kasar
1329,enak erik yg dulu beda klo skrng udh gjls cuman toxic gjls,positif,tidak kasar
1330,engga mampan haters lawan lu bang kwkwkwkw,positif,tidak kasar
1331,enkaneka,positif,tidak kasar
1332,entah ada edit hitzeed,positif,tidak kasar
1333,entah saat semua orang benci sama kamu aku malah suka gaya kamu bang boommmm njinkk lmayan ngilangin stress mungkin guna channel awkwkw,positif,tidak kasar
1334,ente jg bocah ngapain sampe sini toddd,positif,tidak kasar
1335,era globalisasi erickolim ahli ips,positif,tidak kasar
1336,era modernisasi bang bukan globalisasi sedikit benar jadi channel didik,positif,tidak kasar
1337,eri coli m kpn buat vidio tetntang free fire bangsad utekmu pubg terus su,positif,tidak kasar
1338,eric bully adsense,positif,tidak kasar
1339,eric contol,positif,tidak kasar
1340,eric emg k nt l dia gemesin makanya aku subscribe channelnya,positif,tidak kasar
1341,eric ganteng,positif,tidak kasar
1342,eric hapus cenel,positif,tidak kasar
1343,eric makin banyak haters makin kaya lol,positif,tidak kasar
1344,eric toxic pas rec aja asli nya org nya sopan,positif,tidak kasar
1345,eric ywan,positif,tidak kasar
1346,erick abang lu apa tuhan lu,positif,tidak kasar
1347,erick aku support kamu zanpe matj,positif,tidak kasar
1348,erick apa arap,positif,tidak kasar
1349,erick arap saudara wkwkwkwk,positif,tidak kasar
1350,erick banyak haters malah makin tajir goblog wkwkwkwk,positif,tidak kasar
1351,erick bom jd soapking kampanggg,positif,tidak kasar
1352,erick diet dong kamu agak mirip sama anak sule eaak,positif,tidak kasar
1353,erick gak agama,positif,tidak kasar
1354,erick ganteng arap mah bibir item wkwk haters bikin erick kaya aowkk,positif,tidak kasar
1355,erick ganteng kok,positif,tidak kasar
1356,erick ganteng tapi gw cowo v,negatif,kasar
1357,erick goblog,positif,tidak kasar
1358,erick gua fans kamu wkwkwkwk,positif,tidak kasar
1359,erick gua gak hinaya gue lihat perutlu agak gemuk pasti kont lmu kecil jujur,positif,tidak kasar
1360,erick hatenya banyak si erick tahan,positif,tidak kasar
1361,erick is ganteng,positif,tidak kasar
1362,erick jaqun kamu g liat anja,positif,tidak kasar
1363,erick jembod di bully tambah kaya wkwkwk,positif,tidak kasar
1364,erick jembod di bully tambah kaya wkwkwk,positif,tidak kasar
1365,erick jt subs coli beneran kata lu soapking,positif,tidak kasar
1366,erick kalau toxic bukan erick,positif,tidak kasar
1367,erick kata kata mutiara save,positif,tidak kasar
1368,erick kena bait auto triggered,positif,tidak kasar
1369,erick ko eluh muka mirip kontoooooollllll,positif,tidak kasar
1370,erick ko tol,positif,tidak kasar
1371,erick kon no limits,positif,tidak kasar
1372,erick lim sma kim hime aku fans karena serasi kalau pacarang,positif,tidak kasar
1373,erick mirip main bola adam alis bhayangkara fc,positif,tidak kasar
1374,erick old back,positif,tidak kasar
1375,erick old is back mantabb,positif,tidak kasar
1376,erick pacar yuk toket aku d lohh,positif,tidak kasar
1377,erick rajin upload biar balik modal dri youtube rewind wkwk,positif,tidak kasar
1378,erick real life beda sama erick di depan kamera haters only know he name but not he life,positif,tidak kasar
1379,erick satanis,positif,tidak kasar
1380,erick sok karena doi punya duit donggg kga kek lu,positif,tidak kasar
1381,erick tau cara bikin haters tambah panas bakar jenggot,positif,tidak kasar
1382,erick tobat,positif,tidak kasar
1383,erick triggered,positif,tidak kasar
1384,erick upload vidio haters banyak bacod yhaaaaa,positif,tidak kasar
1385,erick x kim hime,positif,tidak kasar
1386,erickcokli m gua fans kamu anjink sih main semarang gua sambut buah durian manteb,positif,tidak kasar
1387,erickentooooood,positif,tidak kasar
1388,erickkk,positif,tidak kasar
1389,erickkolim ganteng,positif,tidak kasar
1390,ericko,positif,tidak kasar
